timestamp,action,joint_positions,gripper_state,object_id,success,action
0.0,[nan],"[-0.18448505 -0.14281522  0.04164834 -2.5931988   0.07569678  2.568548
  0.6183799 ]",open,object_01,True,place
0.1,[nan],"[-0.18759605 -0.15795736  0.0415897  -2.614016    0.07576638  2.575675
  0.61981964]",open,object_01,False,
0.2,[nan],"[-0.18886894 -0.17069894  0.04158118 -2.6288908   0.07577982  2.5782385
  0.6213878 ]",open,object_01,False,
0.3,[nan],"[-0.18988334 -0.18154936  0.0415982  -2.6406446   0.07578538  2.5792236
  0.62252384]",open,object_01,False,
0.4,[nan],"[-0.19167195 -0.19728509  0.04157129 -2.6573095   0.07578643  2.580169
  0.6233399 ]",open,object_01,False,
0.5,[nan],"[-0.19226684 -0.20370682  0.04159288 -2.6641538   0.07579469  2.5807104
  0.6236561 ]",open,object_01,False,
0.6,[nan],"[-0.193743   -0.23334906  0.04159462 -2.6926632   0.07580462  2.5824153
  0.62570274]",open,object_01,False,
0.7,[nan],"[-0.19393286 -0.24577293  0.04159259 -2.7021346   0.07582203  2.5832126
  0.62688875]",open,object_01,False,
0.8,[nan],"[-0.19403657 -0.24880071  0.04160381 -2.7044702   0.07582822  2.583308
  0.6272275 ]",open,object_01,False,
0.9,[nan],"[-0.19547345 -0.25801173  0.04159491 -2.715956    0.07582674  2.5850217
  0.62764376]",open,object_01,False,
1.0,[nan],"[-0.19593209 -0.26047269  0.04158216 -2.7199125   0.07582954  2.5855255
  0.6276805 ]",open,object_01,False,
1.1,[nan],"[-0.19816893 -0.2746887   0.04156509 -2.7392442   0.07582024  2.5871165
  0.6276791 ]",open,object_01,False,
1.2,[nan],"[-0.19888611 -0.28120053  0.0415567  -2.7472417   0.07582205  2.5873435
  0.62767696]",open,object_01,False,
1.3,[nan],"[-0.20184974 -0.3107343   0.04153734 -2.7786133   0.07580767  2.5878599
  0.62766665]",open,object_01,False,
1.4,[nan],"[-0.20485622 -0.35103598  0.04153522 -2.8155718   0.07580456  2.5879211
  0.6276451 ]",open,object_01,False,
1.5,[nan],"[-0.20562613 -0.3628425   0.04152295 -2.82641     0.07580318  2.5879261
  0.62764573]",open,object_01,False,
1.6,[nan],"[-0.20823507 -0.40322816  0.04150269 -2.861479    0.07579304  2.587758
  0.6275899 ]",open,object_01,False,
1.7,[nan],"[-0.20897749 -0.41544178  0.04149618 -2.8722708   0.07579222  2.5877082
  0.627584  ]",open,object_01,False,
1.8,[nan],"[-0.21181667 -0.4540848   0.04147771 -2.9025753   0.07576902  2.5861793
  0.62753665]",open,object_01,False,
1.9,[nan],"[-0.214513   -0.47911698  0.04149827 -2.9162598   0.07575668  2.582342
  0.6274723 ]",open,object_01,False,
2.0,[nan],"[-0.21512674 -0.4831749   0.04149673 -2.9190197   0.075758    2.5823615
  0.6274618 ]",open,object_01,False,
2.1,[nan],"[-0.2165396  -0.4902945   0.04152596 -2.9240685   0.0757746   2.5826244
  0.6274472 ]",open,object_01,False,
2.2,[nan],"[-0.21644484 -0.4916254   0.0422993  -2.9251978   0.0759749   2.5828547
  0.6275924 ]",open,object_01,False,
2.3,[nan],"[-0.21439102 -0.49208173  0.04505855 -2.9265544   0.07673068  2.5844855
  0.628783  ]",open,object_01,False,
2.4,[nan],"[-0.20953262 -0.49213934  0.04725577 -2.9274514   0.07772406  2.5855005
  0.631845  ]",open,object_01,False,
2.5,[nan],"[-0.20430161 -0.49240258  0.05094384 -2.9281266   0.07908747  2.586356
  0.6367529 ]",open,object_01,False,
2.6,[nan],"[-0.19621186 -0.49291885  0.05773062 -2.9288397   0.08001585  2.5873244
  0.64860165]",open,object_01,False,
2.7,[nan],"[-0.18902607 -0.493693    0.06300159 -2.9295077   0.08067367  2.588142
  0.65889597]",open,object_01,False,
2.8,[nan],"[-0.17544693 -0.49648046  0.0750674  -2.9314842   0.08184075  2.589396
  0.68213   ]",open,object_01,False,
2.9,[nan],"[-0.16690192 -0.499587    0.08330655 -2.933235    0.08282834  2.5908213
  0.6976347 ]",open,object_01,False,
3.0,[nan],"[-0.16404082 -0.50113016  0.08568812 -2.9339976   0.08289961  2.5912457
  0.7032458 ]",open,object_01,False,
3.1,[nan],"[-0.15525146 -0.5068806   0.09530836 -2.9370637   0.08351173  2.592628
  0.7219601 ]",open,object_01,False,
3.2,[nan],"[-0.1539143  -0.5079798   0.09790606 -2.9379053   0.08351146  2.5938716
  0.7266418 ]",open,object_01,False,
3.3,[nan],"[-0.15279198 -0.50971544  0.10286766 -2.9410439   0.08353372  2.5993025
  0.7356929 ]",open,object_01,False,
3.4,[nan],"[-0.15272687 -0.51034117  0.10493783 -2.9446914   0.08352235  2.606683
  0.7420389 ]",open,object_01,False,
3.5,[nan],"[-0.15272525 -0.51045513  0.1055058  -2.9459705   0.08352598  2.6098878
  0.7440323 ]",open,object_01,False,
3.6,[nan],"[-0.15271601 -0.51081127  0.10630243 -2.9498758   0.08353525  2.6197019
  0.749144  ]",open,object_01,False,
3.7,[nan],"[-0.15271099 -0.51178616  0.10645165 -2.951809    0.08353589  2.624946
  0.7527449 ]",open,object_01,False,
3.8,[nan],"[-0.15179472 -0.51335263  0.10744182 -2.9541278   0.08373323  2.6296957
  0.7574962 ]",open,object_01,False,
3.9,[nan],"[-0.1458708  -0.5194644   0.11284826 -2.9606853   0.08470574  2.6384974
  0.7728871 ]",open,object_01,False,
4.0,[nan],"[-0.13898957 -0.52421486  0.1170714  -2.964957    0.08547896  2.6434247
  0.78665406]",open,object_01,False,
4.1,[nan],"[-0.13687012 -0.5263517   0.11912779 -2.96681     0.0858534   2.6456578
  0.7916202 ]",open,object_01,False,
4.2,[nan],"[-0.13242517 -0.5345846   0.12508766 -2.9749188   0.08702682  2.655953
  0.8072449 ]",open,object_01,False,
4.3,[nan],"[-0.13141169 -0.5374536   0.12585561 -2.9782703   0.08785581  2.6609237
  0.8114563 ]",open,object_01,False,
