timestamp,action,joint_positions,gripper_state,object_id,success,action
0.0,[nan],"[ 0.13181306 -0.66062516  0.18088624 -2.8560765  -0.06534173  2.3200858
  0.23202896]",open,object_01,True,place
0.1,[nan],"[ 0.14176399 -0.6606809   0.18856484 -2.8560228  -0.05770626  2.3214908
  0.23941642]",open,object_01,False,
0.2,[nan],"[ 0.14898282 -0.6606788   0.192765   -2.8560042  -0.05559229  2.3225102
  0.2463092 ]",open,object_01,False,
0.3,[nan],"[ 0.15168786 -0.66068065  0.19424568 -2.8559802  -0.05537227  2.3229754
  0.24941769]",open,object_01,False,
0.4,[nan],"[ 0.16319333 -0.6606688   0.2036909  -2.8557365  -0.05384647  2.3256552
  0.263598  ]",open,object_01,False,
0.5,[nan],"[ 0.17034547 -0.6606645   0.21052527 -2.8551621  -0.05347576  2.32663
  0.274303  ]",open,object_01,False,
0.6,[nan],"[ 0.17540467 -0.6606596   0.21632478 -2.854642   -0.05337653  2.3271663
  0.28230375]",open,object_01,False,
0.7,[nan],"[ 0.18059736 -0.66064245  0.22352454 -2.8538806  -0.05335883  2.3280144
  0.29197174]",open,object_01,False,
0.8,[nan],"[ 0.18264145 -0.6606435   0.2301458  -2.8537426  -0.05338864  2.328639
  0.2975626 ]",open,object_01,False,
0.9,[nan],"[ 0.18262106 -0.6606463   0.23423487 -2.853708   -0.0535858   2.3292298
  0.2998696 ]",open,object_01,False,
1.0,[nan],"[ 0.18261582 -0.66064847  0.23534447 -2.8536966  -0.05359026  2.3295627
  0.3002337 ]",open,object_01,False,
1.1,[nan],"[ 0.18266417 -0.6606414   0.2419706  -2.853472   -0.05359145  2.3311574
  0.30386257]",open,object_01,False,
1.2,[nan],"[ 0.1826669  -0.6606444   0.24498914 -2.8534563  -0.05367191  2.3315542
  0.30593136]",open,object_01,False,
1.3,[nan],"[ 0.1826321  -0.660642    0.25027335 -2.8534384  -0.05457615  2.33205
  0.31004232]",open,object_01,False,
1.4,[nan],"[ 0.18260664 -0.66064453  0.25443748 -2.8534272  -0.05478306  2.3323667
  0.31271568]",open,object_01,False,
1.5,[nan],"[ 0.18263604 -0.66063464  0.25640664 -2.8532789  -0.05477947  2.332784
  0.31361058]",open,object_01,False,
1.6,[nan],"[ 0.18265036 -0.6605792   0.2637366  -2.8522325  -0.05474494  2.3336294
  0.31747162]",open,object_01,False,
1.7,[nan],"[ 0.18256128 -0.660293    0.26800516 -2.8510776  -0.05482668  2.3354456
  0.31966767]",open,object_01,False,
1.8,[nan],"[ 0.18216234 -0.65988505  0.2689964  -2.8503132  -0.05578009  2.3380737
  0.32010967]",open,object_01,False,
1.9,[nan],"[ 0.1795318  -0.65667164  0.26898298 -2.847519   -0.05847006  2.3443513
  0.32014737]",open,object_01,False,
2.0,[nan],"[ 0.17834818 -0.6547771   0.26898968 -2.8461611  -0.05941526  2.3466055
  0.32013333]",open,object_01,False,
2.1,[nan],"[ 0.16977134 -0.6378122   0.2689763  -2.836792   -0.06266825  2.3622594
  0.31954876]",open,object_01,False,
2.2,[nan],"[ 0.16300783 -0.62145406  0.26896346 -2.8271348  -0.06586122  2.3725736
  0.31935284]",open,object_01,False,
2.3,[nan],"[ 0.15635957 -0.6043494   0.2689415  -2.816085   -0.07034621  2.3801079
  0.3192079 ]",open,object_01,False,
2.4,[nan],"[ 0.14757143 -0.5812036   0.2689284  -2.8003862  -0.07728433  2.3870485
  0.3191606 ]",open,object_01,False,
2.5,[nan],"[ 0.14210959 -0.5642761   0.26888674 -2.7879937  -0.08094506  2.3897195
  0.31914863]",open,object_01,False,
2.6,[nan],"[ 0.13238648 -0.52963394  0.26892114 -2.7630613  -0.08637408  2.3925068
  0.318759  ]",open,object_01,False,
2.7,[nan],"[ 0.12697126 -0.51094586  0.26890215 -2.7494943  -0.0908176   2.3930848
  0.3187667 ]",open,object_01,False,
2.8,[nan],"[ 0.12519176 -0.50435406  0.2688828  -2.7445762  -0.09270307  2.393095
  0.31879193]",open,object_01,False,
2.9,[nan],"[ 0.11932889 -0.48554355  0.2688807  -2.730898   -0.09793064  2.3930762
  0.3187787 ]",open,object_01,False,
3.0,[nan],"[ 0.11845107 -0.48157856  0.2688694  -2.728356   -0.09846213  2.3930478
  0.31878066]",open,object_01,False,
