timestamp,action,joint_positions,gripper_state,object_id,success,action
0.0,[nan],"[-0.46775892 -0.51829916 -0.0714929  -2.5477693  -0.10642545  2.105809
 -2.5496244 ]",open,object_01,True,place
0.1,[nan],"[-0.46780837 -0.51409936 -0.09405074 -2.5527174  -0.10530113  2.1063988
 -2.569536  ]",open,object_01,False,
0.2,[nan],"[-0.46780828 -0.51268363 -0.10279067 -2.5545232  -0.10475577  2.1065187
 -2.5771475 ]",open,object_01,False,
0.3,[nan],"[-0.4677722  -0.50626874 -0.13544321 -2.5591557  -0.10349009  2.1068408
 -2.60691   ]",open,object_01,False,
0.4,[nan],"[-0.46781537 -0.5037969  -0.14414147 -2.5596406  -0.10324292  2.1068215
 -2.6145012 ]",open,object_01,False,
0.5,[nan],"[-0.46776614 -0.49560112 -0.17470428 -2.5608342  -0.1021326   2.1075466
 -2.642091  ]",open,object_01,False,
0.6,[nan],"[-0.46775535 -0.4933484  -0.18286015 -2.5608292  -0.10094617  2.108423
 -2.6503067 ]",open,object_01,False,
0.7,[nan],"[-0.46761286 -0.48870447 -0.20242812 -2.5607452  -0.09773753  2.111375
 -2.6709077 ]",open,object_01,False,
0.8,[nan],"[-0.4676001  -0.48863086 -0.21192166 -2.5607026  -0.09770408  2.1117477
 -2.6795156 ]",open,object_01,False,
0.9,[nan],"[-0.46758932 -0.48864084 -0.21557188 -2.560698   -0.097689    2.1117215
 -2.6829302 ]",open,object_01,False,
1.0,[nan],"[-0.46765876 -0.48936537 -0.23523311 -2.5608833  -0.09774717  2.1066904
 -2.7012582 ]",open,object_01,False,
1.1,[nan],"[-0.4677101  -0.49214852 -0.24875619 -2.5611892  -0.09804544  2.0983958
 -2.7135482 ]",open,object_01,False,
1.2,[nan],"[-0.46771258 -0.49359462 -0.25383118 -2.5612955  -0.09820346  2.0941944
 -2.717847  ]",open,object_01,False,
1.3,[nan],"[-0.46791345 -0.5031633  -0.27264175 -2.5631588  -0.09885733  2.0758014
 -2.73475   ]",open,object_01,False,
1.4,[nan],"[-0.46800894 -0.5073975  -0.2783372  -2.5644162  -0.09945792  2.0685518
 -2.7396038 ]",open,object_01,False,
1.5,[nan],"[-0.46848747 -0.5273977  -0.2999172  -2.5721302  -0.10084821  2.0453904
 -2.7576444 ]",open,object_01,False,
1.6,[nan],"[-0.4685534  -0.54255915 -0.31259885 -2.57941    -0.10127453  2.0336409
 -2.7680373 ]",open,object_01,False,
1.7,[nan],"[-0.46855202 -0.5484882  -0.31680062 -2.5825675  -0.10133012  2.02922
 -2.7710185 ]",open,object_01,False,
1.8,[nan],"[-0.46854103 -0.5762582  -0.32927626 -2.5997448  -0.10123578  2.010937
 -2.7794003 ]",open,object_01,False,
1.9,[nan],"[-0.46853572 -0.59727186 -0.3325991  -2.6148815  -0.10120045  2.0009992
 -2.780664  ]",open,object_01,False,
2.0,[nan],"[-0.46852866 -0.6065142  -0.33369148 -2.6212628  -0.10123271  1.9973425
 -2.7808518 ]",open,object_01,False,
2.1,[nan],"[-0.46860582 -0.64210844 -0.33782715 -2.644234   -0.10182859  1.9826746
 -2.781054  ]",open,object_01,False,
2.2,[nan],"[-0.46882728 -0.6548887  -0.33935198 -2.6520886  -0.10218294  1.9771746
 -2.7811    ]",open,object_01,False,
2.3,[nan],"[-0.47030845 -0.69729984 -0.34485045 -2.677118   -0.1053369   1.9599739
 -2.7811992 ]",open,object_01,False,
2.4,[nan],"[-0.47083318 -0.7459146  -0.3544215  -2.7045426  -0.11170758  1.9425246
 -2.7811902 ]",open,object_01,False,
2.5,[nan],"[-0.47087356 -0.75979555 -0.35692757 -2.7126198  -0.11342047  1.937184
 -2.7811723 ]",open,object_01,False,
2.6,[nan],"[-0.47096086 -0.8069856  -0.36292166 -2.73964    -0.11745341  1.9200311
 -2.780412  ]",open,object_01,False,
2.7,[nan],"[-0.47096956 -0.8218006  -0.36361134 -2.748031   -0.11769827  1.9140841
 -2.779842  ]",open,object_01,False,
