timestamp,action,joint_positions,gripper_state,object_id,success,action
0.0,[nan],[0. 0. 0. 0. 0. 0. 0.],open,object_01,True,place
0.1,[nan],[0. 0. 0. 0. 0. 0. 0.],open,object_01,False,
0.2,[nan],[0. 0. 0. 0. 0. 0. 0.],open,object_01,False,
0.3,[nan],[0. 0. 0. 0. 0. 0. 0.],open,object_01,False,
0.4,[nan],[0. 0. 0. 0. 0. 0. 0.],open,object_01,False,
0.5,[nan],[0. 0. 0. 0. 0. 0. 0.],open,object_01,False,
0.6,[nan],"[-0.01584367 -0.24702872  0.18653473 -2.2849505   0.07951835  2.0262096
  0.08085882]",open,object_01,False,
0.7,[nan],"[-0.01585082 -0.24512495  0.18652625 -2.284985    0.0795361   2.0262334
  0.08086959]",open,object_01,False,
0.8,[nan],"[-0.01584057 -0.24405141  0.18653539 -2.2849803   0.0795387   2.0262623
  0.08085942]",open,object_01,False,
0.9,[nan],"[-0.01584696 -0.24233614  0.18652584 -2.2849824   0.07954147  2.0264087
  0.08085266]",open,object_01,False,
1.0,[nan],"[-0.01585121 -0.24221113  0.18652613 -2.284983    0.07961255  2.0263908
  0.08085611]",open,object_01,False,
1.1,[nan],"[-0.01584627 -0.2421991   0.1865396  -2.2849774   0.07963406  2.0263886
  0.08085611]",open,object_01,False,
1.2,[nan],"[-0.01617833 -0.2421891   0.18640967 -2.2849684   0.07951478  2.0264437
  0.08081774]",open,object_01,False,
1.3,[nan],"[-0.01985611 -0.24207243  0.18529156 -2.284963    0.07902199  2.02775
  0.07844245]",open,object_01,False,
1.4,[nan],"[-0.02454934 -0.24125701  0.18357842 -2.2847462   0.07906064  2.0304
  0.07520971]",open,object_01,False,
1.5,[nan],"[-0.02648977 -0.24060276  0.18344878 -2.2846437   0.07918324  2.031838
  0.07509957]",open,object_01,False,
1.6,[nan],"[-0.0272242  -0.24030131  0.18344308 -2.284628    0.07932958  2.0323303
  0.07518857]",open,object_01,False,
1.7,[nan],"[-0.02730572 -0.23723555  0.18344857 -2.2846766   0.07938153  2.0334709
  0.07554064]",open,object_01,False,
1.8,[nan],"[-0.02734839 -0.22978127  0.18346205 -2.2853      0.07937887  2.037869
  0.0758489 ]",open,object_01,False,
1.9,[nan],"[-0.02737681 -0.21661009  0.18344977 -2.287446    0.07936923  2.0481617
  0.07604899]",open,object_01,False,
2.0,[nan],"[-0.02744092 -0.20916615  0.18344082 -2.287856    0.0793644   2.053608
  0.0760834 ]",open,object_01,False,
2.1,[nan],"[-0.0277061  -0.19491632  0.1834204  -2.2877522   0.07937092  2.0645125
  0.0761693 ]",open,object_01,False,
2.2,[nan],"[-0.02761176 -0.19173327  0.183507   -2.2871778   0.07978224  2.0688598
  0.07639254]",open,object_01,False,
2.3,[nan],"[-0.02726891 -0.19069274  0.18399997 -2.286991    0.0808074   2.0714264
  0.07683419]",open,object_01,False,
2.4,[nan],"[-0.02459646 -0.18281223  0.18835402 -2.2869372   0.08245476  2.085586
  0.08123963]",open,object_01,False,
2.5,[nan],"[-0.02111103 -0.17055766  0.19219843 -2.2868972   0.08294926  2.1027584
  0.08582149]",open,object_01,False,
2.6,[nan],"[-0.01970764 -0.15632845  0.19556373 -2.2866998   0.08286151  2.1182055
  0.08975998]",open,object_01,False,
2.7,[nan],"[-0.01932348 -0.13722679  0.20075832 -2.2864823   0.08285096  2.1394668
  0.09506746]",open,object_01,False,
2.8,[nan],"[-0.01880905 -0.12123824  0.20338114 -2.2861707   0.08263233  2.155227
  0.09790775]",open,object_01,False,
2.9,[nan],"[-0.01868187 -0.10349886  0.20408839 -2.2861633   0.082621    2.1710973
  0.09866147]",open,object_01,False,
3.0,[nan],"[-0.01864132 -0.10010288  0.20412368 -2.28619     0.08262686  2.173478
  0.09868014]",open,object_01,False,
3.1,[nan],"[-0.01888388 -0.08877625  0.20395891 -2.2865648   0.08238777  2.1817536
  0.09869774]",open,object_01,False,
3.2,[nan],"[-0.01964592 -0.08643565  0.20331743 -2.286559    0.08149063  2.1829987
  0.09867496]",open,object_01,False,
3.3,[nan],"[-0.02834215 -0.0862712   0.19494568 -2.286127    0.0799582   2.1830878
  0.09139919]",open,object_01,False,
3.4,[nan],"[-0.03424932 -0.09257178  0.18868397 -2.2834778   0.0801822   2.1783788
  0.08467427]",open,object_01,False,
3.5,[nan],"[-0.03737869 -0.09949363  0.1853429  -2.2810845   0.08094992  2.1727583
  0.08182716]",open,object_01,False,
3.6,[nan],"[-0.0389901  -0.11271004  0.18385488 -2.2771146   0.08265557  2.1606615
  0.08176434]",open,object_01,False,
3.7,[nan],"[-0.04028218 -0.12559131  0.18314631 -2.2758174   0.08293775  2.151157
  0.0822973 ]",open,object_01,False,
3.8,[nan],"[-0.04386393 -0.1466695   0.17637266 -2.2751951   0.08286583  2.1359398
  0.08082658]",open,object_01,False,
3.9,[nan],"[-0.0449053  -0.15083042  0.17374332 -2.2751634   0.0827986   2.1323514
  0.08014374]",open,object_01,False,
4.0,[nan],"[-0.04817678 -0.15721564  0.16514282 -2.275204    0.08295766  2.1270466
  0.07876962]",open,object_01,False,
4.1,[nan],"[-0.04821572 -0.1569892   0.16260506 -2.2752352   0.08337861  2.1270435
  0.07895081]",open,object_01,False,
4.2,[nan],"[-0.04855154 -0.15678531  0.16056897 -2.2752497   0.08495191  2.1270378
  0.08118928]",open,object_01,False,
4.3,[nan],"[-0.04895796 -0.15675505  0.15958166 -2.275253    0.085618    2.1270354
  0.0819071 ]",open,object_01,False,
4.4,[nan],"[-0.04944364 -0.15669036  0.1564566  -2.2752671   0.090048    2.1270142
  0.0830382 ]",open,object_01,False,
4.5,[nan],"[-0.04951889 -0.15668651  0.155882   -2.2752647   0.09200869  2.1270168
  0.08350851]",open,object_01,False,
4.6,[nan],"[-0.04966303 -0.15667267  0.15375637 -2.2752657   0.09761246  2.12701
  0.08594984]",open,object_01,False,
4.7,[nan],"[-0.04967447 -0.15666902  0.15306582 -2.2752662   0.09866841  2.1270096
  0.08881882]",open,object_01,False,
4.8,[nan],"[-0.04968048 -0.15667008  0.1525301  -2.275269    0.09999996  2.1270058
  0.09795787]",open,object_01,False,
4.9,[nan],"[-0.04967744 -0.15667292  0.1523816  -2.2752743   0.10082232  2.1270096
  0.10491317]",open,object_01,False,
5.0,[nan],"[-0.04980632 -0.15667497  0.1518541  -2.275269    0.10113407  2.127008
  0.11085679]",close,object_01,True,grasp
5.1,[nan],"[-0.05234622 -0.15666182  0.1464173  -2.2753315   0.10099093  2.1268895
  0.11674877]",open,object_01,False,
5.2,[nan],"[-0.05653751 -0.1566674   0.14092208 -2.2754114   0.10087285  2.126373
  0.1167912 ]",open,object_01,False,
5.3,[nan],"[-0.05827809 -0.15666202  0.13884735 -2.2754278   0.10084242  2.126186
  0.11678886]",open,object_01,False,
5.4,[nan],"[-0.06558297 -0.15662035  0.13128622 -2.2756739   0.10041093  2.1249492
  0.11632204]",open,object_01,False,
5.5,[nan],"[-0.06773329 -0.15631093  0.12898268 -2.2762468   0.09971334  2.1248372
  0.11620362]",open,object_01,False,
5.6,[nan],"[-0.08072705 -0.15001932  0.11367653 -2.2809732   0.09788574  2.1258883
  0.10870303]",open,object_01,False,
5.7,[nan],"[-0.09041664 -0.14074744  0.10272984 -2.2858694   0.09728351  2.1314094
  0.09814917]",open,object_01,False,
5.8,[nan],"[-0.09676631 -0.13112336  0.09498197 -2.2894297   0.09722012  2.1384642
  0.09201869]",open,object_01,False,
5.9,[nan],"[-0.10501555 -0.11640209  0.08581095 -2.2954178   0.09751041  2.1515496
  0.08321287]",open,object_01,False,
6.0,[nan],"[-0.10837329 -0.10213967  0.08049396 -2.296793    0.09810616  2.1613212
  0.08137237]",open,object_01,False,
6.1,[nan],"[-0.10982475 -0.08206857  0.07961043 -2.2973995   0.0995871   2.1731048
  0.08429818]",open,object_01,False,
6.2,[nan],"[-0.10985047 -0.07487661  0.07959164 -2.2983992   0.10001456  2.1782944
  0.08679955]",open,object_01,False,
6.3,[nan],"[-0.10982644 -0.06462839  0.07964764 -2.3010201   0.10027784  2.1862535
  0.09236197]",open,object_01,False,
6.4,[nan],"[-0.10984693 -0.05833814  0.07962836 -2.301951    0.10040838  2.1899333
  0.09627314]",open,object_01,False,
6.5,[nan],"[-0.10987645 -0.0477967   0.07964418 -2.3047512   0.10113197  2.198186
  0.10420482]",open,object_01,False,
6.6,[nan],"[-0.10988748 -0.04007417  0.0796283  -2.3072624   0.10131607  2.205518
  0.11102315]",open,object_01,False,
6.7,[nan],"[-0.1098658  -0.03167317  0.07966334 -2.3087056   0.10150038  2.2121098
  0.11854028]",open,object_01,False,
6.8,[nan],"[-0.10988067 -0.02150899  0.07966556 -2.312059    0.10189684  2.2230315
  0.12889427]",open,object_01,False,
6.9,[nan],"[-0.10988197 -0.01952844  0.07965828 -2.3131964   0.10210121  2.225929
  0.13275734]",open,object_01,False,
7.0,[nan],"[-0.1098747  -0.01741433  0.07966415 -2.3147156   0.10251268  2.22873
  0.14526205]",open,object_01,False,
7.1,[nan],"[-0.10986629 -0.01742461  0.07967654 -2.3147082   0.10263909  2.2304058
  0.15524362]",open,object_01,False,
7.2,[nan],"[-0.10987643 -0.01771345  0.07967234 -2.3141425   0.1033055   2.2337615
  0.16174889]",open,object_01,False,
7.3,[nan],"[-0.10987002 -0.0209297   0.07968066 -2.3103354   0.10485612  2.2344062
  0.1739696 ]",open,object_01,False,
7.4,[nan],"[-0.10986207 -0.02157865  0.07969679 -2.3061028   0.10747381  2.2348647
  0.18105818]",open,object_01,False,
7.5,[nan],"[-0.10988379 -0.02158804  0.07967938 -2.3048766   0.10908257  2.2350812
  0.18312673]",open,object_01,False,
7.6,[nan],"[-0.10999653 -0.0215375   0.07964739 -2.3040092   0.11638352  2.2382321
  0.18990567]",open,object_01,False,
7.7,[nan],"[-0.11002985 -0.02155091  0.0796379  -2.304014    0.11784843  2.2391849
  0.19286932]",open,object_01,False,
7.8,[nan],"[-0.11036693 -0.02153922  0.07961443 -2.3040147   0.12134094  2.2412858
  0.20182498]",open,object_01,False,
7.9,[nan],"[-0.11089461 -0.02153308  0.07960051 -2.3040156   0.12336671  2.2423697
  0.21217723]",open,object_01,False,
8.0,[nan],"[-0.11107041 -0.02153534  0.07961039 -2.3040104   0.12398718  2.2424667
  0.21561499]",open,object_01,False,
8.1,[nan],"[-0.11208587 -0.02153215  0.07958423 -2.304012    0.1287075   2.242718
  0.22446027]",open,object_01,False,
8.2,[nan],"[-0.112766   -0.02151826  0.07956123 -2.3040164   0.13491362  2.242712
  0.22973584]",open,object_01,False,
8.3,[nan],"[-0.11307999 -0.02148174  0.07943102 -2.3040247   0.13742904  2.242712
  0.23454453]",open,object_01,False,
8.4,[nan],"[-0.11359673 -0.0214243   0.07931397 -2.3040316   0.13951756  2.2426991
  0.2412738 ]",open,object_01,False,
8.5,[nan],"[-0.11394713 -0.02141709  0.07926399 -2.3040173   0.14068174  2.2429523
  0.24670975]",open,object_01,False,
8.6,[nan],"[-0.11479876 -0.02048784  0.07869031 -2.3029644   0.14165924  2.2482226
  0.25912526]",open,object_01,False,
8.7,[nan],"[-0.11873307 -0.01687084  0.07513309 -2.297994    0.14160396  2.252804
  0.26061025]",open,object_01,False,
8.8,[nan],"[-0.12300257 -0.01073862  0.06790943 -2.290621    0.14102392  2.2577188
  0.25977585]",open,object_01,False,
8.9,[nan],"[-1.2903984e-01 -7.5159827e-04  6.1306655e-02 -2.2800775e+00
  1.4072412e-01  2.2624981e+00  2.5825337e-01]",open,object_01,False,
9.0,[nan],"[-0.1306441   0.00371443  0.05845429 -2.2747784   0.14063512  2.2632298
  0.25788864]",open,object_01,False,
9.1,[nan],"[-0.13462362  0.01596309  0.05214151 -2.2612355   0.14054698  2.2632957
  0.2577505 ]",open,object_01,False,
9.2,[nan],"[-0.13698651  0.02452927  0.04949288 -2.253165    0.14089498  2.263325
  0.25784138]",open,object_01,False,
9.3,[nan],"[-0.13880178  0.03214756  0.04874392 -2.2462664   0.14167082  2.263297
  0.26062718]",open,object_01,False,
9.4,[nan],"[-0.13879214  0.03336532  0.04875375 -2.2457685   0.14185175  2.2633033
  0.26255015]",open,object_01,False,
9.5,[nan],"[-0.13879415  0.03704177  0.04875444 -2.245751    0.14212826  2.2634768
  0.26786232]",open,object_01,False,
9.6,[nan],"[-0.13880007  0.04647604  0.04875262 -2.245758    0.14226443  2.2675865
  0.27432093]",open,object_01,False,
9.7,[nan],"[-0.13882484  0.05250753  0.04873383 -2.2457995   0.14261079  2.2710776
  0.2769817 ]",open,object_01,False,
9.8,[nan],"[-0.13881122  0.0679      0.04873565 -2.2457588   0.14379245  2.2831492
  0.2836223 ]",open,object_01,False,
9.9,[nan],"[-0.13885343  0.07541452  0.04870982 -2.2456844   0.14543931  2.2897048
  0.28895673]",open,object_01,False,
10.0,[nan],"[-0.13884105  0.07624577  0.0487203  -2.2456272   0.1490068   2.2914195
  0.2943628 ]",open,object_01,True,place
10.1,[nan],"[-0.13900474  0.07619059  0.04844452 -2.2455986   0.15559521  2.2925742
  0.2971701 ]",open,object_01,False,
10.2,[nan],"[-0.13917075  0.07617933  0.04800549 -2.2455924   0.15910298  2.2939887
  0.30215827]",open,object_01,False,
10.3,[nan],"[-0.13935396  0.07618686  0.04775286 -2.2455928   0.16101818  2.295787
  0.30916694]",open,object_01,False,
10.4,[nan],"[-0.13939422  0.07617154  0.0477287  -2.2455926   0.16150552  2.2965724
  0.3123199 ]",open,object_01,False,
10.5,[nan],"[-0.13959579  0.07617957  0.0476268  -2.2455988   0.16409525  2.2989104
  0.32182437]",open,object_01,False,
10.6,[nan],"[-0.13968006  0.0761779   0.04756195 -2.2455966   0.1650758   2.2994463
  0.32571188]",open,object_01,False,
10.7,[nan],"[-0.13983987  0.07620493  0.04737815 -2.245628    0.16913627  2.300637
  0.33627275]",open,object_01,False,
10.8,[nan],"[-0.14016238  0.07759443  0.04675817 -2.246379    0.17620967  2.301619
  0.34353015]",open,object_01,False,
