timestamp,action,joint_positions,gripper_state,object_id,success,action
0.0,[nan],"[-0.23395638 -0.10675637  0.06255849 -2.3955731  -0.06345703  2.3756945
  0.27527338]",open,object_01,True,place
0.1,[nan],"[-0.23938534 -0.10594393  0.05339265 -2.394717   -0.06698119  2.3751795
  0.26372737]",open,object_01,False,
0.2,[nan],"[-0.24554376 -0.10564759  0.04509273 -2.3947084  -0.07153834  2.3734205
  0.2523308 ]",open,object_01,False,
0.3,[nan],"[-0.24737062 -0.10547983  0.04212229 -2.3947403  -0.07377227  2.3719575
  0.24926293]",open,object_01,False,
0.4,[nan],"[-0.25390765 -0.09643067  0.02943321 -2.3952672  -0.08078572  2.3681328
  0.23562957]",open,object_01,False,
0.5,[nan],"[-0.2586924  -0.08351952  0.02127853 -2.3951654  -0.08428981  2.372402
  0.22690997]",open,object_01,False,
0.6,[nan],"[-0.26236078 -0.06743866  0.01267732 -2.3942814  -0.08761068  2.3802323
  0.21815595]",open,object_01,False,
0.7,[nan],"[-0.26438633 -0.04890606  0.00388818 -2.3929741  -0.09252997  2.3902457
  0.21269116]",open,object_01,False,
0.8,[nan],"[-2.6463091e-01 -4.1767657e-02  1.4960351e-03 -2.3917062e+00
 -9.4498403e-02  2.3940282e+00  2.1221052e-01]",open,object_01,False,
0.9,[nan],"[-2.6496139e-01 -1.7387526e-02 -2.3052897e-03 -2.3817337e+00
 -9.9069163e-02  2.4003179e+00  2.1198435e-01]",open,object_01,False,
1.0,[nan],"[-0.2651785  -0.01166903 -0.00637628 -2.37563    -0.10076684  2.398746
  0.21004346]",open,object_01,False,
1.1,[nan],"[-0.26521403 -0.01028574 -0.00824219 -2.37385    -0.10111693  2.3981535
  0.20867175]",open,object_01,False,
1.2,[nan],"[-0.26617485 -0.00860949 -0.0157089  -2.370879   -0.10166597  2.3972933
  0.20123984]",open,object_01,False,
1.3,[nan],"[-0.26626855 -0.00860086 -0.01780475 -2.3706117  -0.10166737  2.3971806
  0.19918615]",open,object_01,False,
1.4,[nan],"[-0.26626462 -0.00859835 -0.02029201 -2.3704128  -0.10166292  2.3971348
  0.19644848]",open,object_01,False,
1.5,[nan],"[-0.26624668 -0.00859828 -0.02029596 -2.3703842  -0.10166462  2.397119
  0.1962884 ]",open,object_01,False,
1.6,[nan],"[-0.26624644 -0.00859448 -0.0202822  -2.3703716  -0.1016636   2.3971128
  0.19620153]",open,object_01,False,
1.7,[nan],"[-0.26624644 -0.00863538 -0.02028223 -2.3698292  -0.10166575  2.397048
  0.19596978]",open,object_01,False,
1.8,[nan],"[-0.26624385 -0.00862587 -0.0202906  -2.3693938  -0.10166667  2.3969064
  0.19576794]",open,object_01,False,
1.9,[nan],"[-0.26624635 -0.008628   -0.0202932  -2.369185   -0.10167206  2.3968356
  0.19568384]",open,object_01,False,
2.0,[nan],"[-0.26625186 -0.00862307 -0.02029347 -2.3691003  -0.10167246  2.3968081
  0.19563681]",open,object_01,False,
2.1,[nan],"[-0.26627624 -0.00862202 -0.02046107 -2.3690271  -0.10189106  2.396795
  0.19559792]",open,object_01,False,
2.2,[nan],"[-0.26733473 -0.00860756 -0.02578705 -2.3677344  -0.10344222  2.3967211
  0.19178325]",open,object_01,False,
2.3,[nan],"[-0.2674617  -0.00863071 -0.02652248 -2.3628714  -0.10355506  2.3948739
  0.19104098]",open,object_01,False,
2.4,[nan],"[-0.26710498 -0.00698644 -0.02603021 -2.3526604  -0.10354774  2.3920884
  0.19098648]",open,object_01,False,
2.5,[nan],"[-0.26678386 -0.00433729 -0.02528157 -2.3455591  -0.10352321  2.3909488
  0.19098611]",open,object_01,False,
2.6,[nan],"[-0.2653992   0.01087974 -0.02299193 -2.3210797  -0.10336959  2.3876207
  0.19103435]",open,object_01,False,
2.7,[nan],"[-0.26425275  0.02229123 -0.02219203 -2.3070867  -0.10309862  2.3875444
  0.19112138]",open,object_01,False,
2.8,[nan],"[-0.26078156  0.0594478  -0.02055821 -2.2691894  -0.10255107  2.3875048
  0.19191134]",open,object_01,False,
2.9,[nan],"[-0.2594128   0.09226786 -0.01858425 -2.2425127  -0.10247436  2.38882
  0.19240214]",open,object_01,False,
3.0,[nan],"[-0.25853643  0.12558629 -0.01687229 -2.2185333  -0.10246148  2.3908148
  0.19271408]",open,object_01,False,
3.1,[nan],"[-0.2578226   0.15809682 -0.0161831  -2.1994069  -0.10246274  2.39507
  0.1928127 ]",open,object_01,False,
3.2,[nan],"[-0.25770295  0.16850886 -0.01616368 -2.193531   -0.1024755   2.396145
  0.19280976]",open,object_01,False,
3.3,[nan],"[-0.25757208  0.20193759 -0.01613558 -2.1814766  -0.10247993  2.401374
  0.19280614]",open,object_01,False,
3.4,[nan],"[-0.25753906  0.21402183 -0.01613342 -2.1813998  -0.10249833  2.4056451
  0.19280279]",open,object_01,False,
3.5,[nan],"[-0.25754148  0.2197078  -0.01612388 -2.181322   -0.10249335  2.4074306
  0.19279914]",open,object_01,False,
3.6,[nan],"[-0.2575262   0.23596981 -0.0161463  -2.1812906  -0.10248856  2.4161193
  0.19280277]",open,object_01,False,
3.7,[nan],"[-0.25752127  0.24954413 -0.01615046 -2.1812484  -0.10248664  2.424328
  0.19280668]",open,object_01,False,
3.8,[nan],"[-0.25752413  0.2613934  -0.01615685 -2.1808918  -0.10248449  2.431954
  0.19280384]",open,object_01,False,
3.9,[nan],"[-0.2575394   0.27663976 -0.01620547 -2.1792197  -0.10249131  2.4428556
  0.19281462]",open,object_01,False,
4.0,[nan],"[-0.2575208   0.28148544 -0.01619344 -2.1757603  -0.10248347  2.4432557
  0.1928055 ]",open,object_01,False,
4.1,[nan],"[-0.25752366  0.28159633 -0.01619426 -2.1736028  -0.10248888  2.4425497
  0.1927971 ]",open,object_01,False,
4.2,[nan],"[-0.25749457  0.2793446  -0.01617529 -2.16827    -0.10248724  2.4379942
  0.19278142]",open,object_01,False,
4.3,[nan],"[-0.25736946  0.27669296 -0.01614511 -2.16213    -0.1024799   2.434126
  0.19276963]",open,object_01,False,
4.4,[nan],"[-0.25559887  0.2690526  -0.01553803 -2.141531   -0.10231929  2.4146996
  0.19278686]",open,object_01,False,
4.5,[nan],"[-0.25352705  0.26531994 -0.01453684 -2.1235507  -0.10185269  2.3980007
  0.19291447]",open,object_01,False,
4.6,[nan],"[-0.25145566  0.2651475  -0.01397266 -2.1096556  -0.10162251  2.3882484
  0.19328068]",open,object_01,False,
4.7,[nan],"[-0.24830283  0.26579335 -0.01335632 -2.093289   -0.10152688  2.3775394
  0.19395962]",open,object_01,False,
4.8,[nan],"[-0.24719618  0.266547   -0.01320002 -2.0884213  -0.1014311   2.3752434
  0.19408345]",open,object_01,False,
4.9,[nan],"[-0.24295533  0.27963805 -0.01190004 -2.0648584  -0.10138228  2.3748395
  0.19525325]",open,object_01,False,
5.0,[nan],"[-0.24187298  0.29387286 -0.01008416 -2.0450053  -0.1013785   2.3751607
  0.19583553]",close,object_01,True,grasp
5.1,[nan],"[-0.24083485  0.3075831  -0.00896925 -2.026508   -0.10131232  2.375056
  0.19612695]",open,object_01,False,
5.2,[nan],"[-0.23828784  0.32784697 -0.0084134  -1.9992956  -0.10123678  2.3743467
  0.19690382]",open,object_01,False,
5.3,[nan],"[-0.23723596  0.33593652 -0.00838048 -1.988836   -0.10120477  2.3740366
  0.1971457 ]",open,object_01,False,
5.4,[nan],"[-0.23369977  0.36413732 -0.00830202 -1.9525     -0.10110933  2.3718536
  0.1980894 ]",open,object_01,False,
5.5,[nan],"[-0.23285244  0.37152556 -0.00829514 -1.9442328  -0.10109597  2.3717296
  0.19837695]",open,object_01,False,
5.6,[nan],"[-0.23030443  0.39520246 -0.00827747 -1.9202724  -0.10109453  2.3718135
  0.19935748]",open,object_01,False,
5.7,[nan],"[-0.22946559  0.405429   -0.00825613 -1.9111055  -0.10109294  2.3718429
  0.19977467]",open,object_01,False,
5.8,[nan],"[-0.22975893  0.4222165  -0.00935536 -1.8967136  -0.10136623  2.3718233
  0.1997361 ]",open,object_01,False,
5.9,[nan],"[-0.23136799  0.42758647 -0.01446655 -1.890059   -0.10180022  2.371565
  0.19767477]",open,object_01,False,
6.0,[nan],"[-0.23242478  0.4283509  -0.02081659 -1.8870058  -0.10199872  2.3709865
  0.19501421]",open,object_01,False,
6.1,[nan],"[-0.2338078   0.42850938 -0.0259853  -1.8854929  -0.10247088  2.3707395
  0.19290398]",open,object_01,False,
6.2,[nan],"[-0.23639637  0.4289406  -0.03396038 -1.8837724  -0.10265779  2.3707483
  0.18777739]",open,object_01,False,
6.3,[nan],"[-0.2374114   0.42925406 -0.03705108 -1.8829875  -0.10265125  2.3707483
  0.18567641]",open,object_01,False,
6.4,[nan],"[-0.24279986  0.43453476 -0.05175974 -1.874761   -0.10262149  2.3707323
  0.17284842]",open,object_01,False,
6.5,[nan],"[-0.2455801   0.4406439  -0.0600463  -1.8673947  -0.1024939   2.3707294
  0.16524754]",open,object_01,False,
