timestamp,action,joint_positions,gripper_state,object_id,success
0.0,move,"[0.1296541, -0.07077707, 0.14962599, -2.6733131, 0.6915413, 2.9076977, -0.44633666]",1,book,1
0.1,move,"[0.12660995, -0.06534885, 0.14721963, -2.6592247, 0.6908762, 2.9080126, -0.44758707]",1,book,1
0.2,move,"[0.12424173, -0.06436223, 0.14584088, -2.656073, 0.6905536, 2.908144, -0.4494642]",1,book,1
0.3,move,"[0.11062283, -0.06522313, 0.13268916, -2.6484616, 0.6901633, 2.9071765, -0.4668685]",1,book,1
0.4,move,"[0.10105883, -0.06985548, 0.12149826, -2.647635, 0.6901462, 2.9035983, -0.48166633]",1,book,1
0.5,move,"[0.09751227, -0.07250343, 0.11749823, -2.647576, 0.6901613, 2.9011264, -0.4870458]",1,book,1
0.6,move,"[0.08531234, -0.08598919, 0.10191929, -2.6475646, 0.6901842, 2.8856552, -0.5061699]",1,book,1
0.7,move,"[0.08001017, -0.09240738, 0.09448554, -2.647661, 0.69016874, 2.8773627, -0.51467085]",1,book,1
0.8,move,"[0.06803411, -0.10719728, 0.07886443, -2.6494067, 0.6902968, 2.8542402, -0.53437024]",1,book,1
0.9,move,"[0.05973503, -0.11907052, 0.06543028, -2.654282, 0.6907079, 2.8355498, -0.54967153]",1,book,1
1.0,move,"[0.0578886, -0.12187872, 0.0616846, -2.6556363, 0.69067615, 2.8312137, -0.55259544]",1,book,1
1.1,move,"[0.054653, -0.127751, 0.04944235, -2.6584394, 0.6907097, 2.8188558, -0.55967003]",1,book,1
1.2,move,"[0.05428584, -0.1285715, 0.04492081, -2.6584458, 0.69072556, 2.8128777, -0.56030923]",1,book,1
1.3,move,"[0.05427171, -0.12855817, 0.04393784, -2.6584399, 0.6907342, 2.8115692, -0.56030905]",1,book,1
1.4,move,"[0.05403278, -0.12855567, 0.04250114, -2.6585064, 0.69123477, 2.8085597, -0.5600652]",1,book,1
1.5,move,"[0.05372363, -0.12853794, 0.04232528, -2.6586165, 0.6912428, 2.8075633, -0.5597262]",1,book,1
1.6,move,"[0.05328568, -0.1285081, 0.04182022, -2.6590357, 0.69124275, 2.8061776, -0.5588772]",1,book,1
1.7,move,"[0.05308658, -0.12845694, 0.04098689, -2.6597078, 0.6912294, 2.8051758, -0.55775595]",1,book,1
1.8,move,"[0.05293371, -0.1284304, 0.04059125, -2.660178, 0.6911929, 2.8048255, -0.5568922]",1,book,1
1.9,move,"[0.05255566, -0.12835811, 0.0399637, -2.6613235, 0.6910931, 2.804386, -0.55475014]",1,book,1
2.0,move,"[0.05222096, -0.1281662, 0.03978635, -2.6620233, 0.69104254, 2.8042743, -0.5527969]",1,book,1
2.1,move,"[0.05178518, -0.12790966, 0.03969191, -2.6624122, 0.690732, 2.8040879, -0.5508811]",1,book,1
2.2,move,"[0.05147051, -0.12744121, 0.03957245, -2.6626406, 0.6906719, 2.8040628, -0.5486907]",1,book,1
2.3,move,"[0.05133303, -0.12722209, 0.03950333, -2.662677, 0.69066757, 2.8040433, -0.54795635]",1,book,1
2.4,move,"[0.05099451, -0.12718034, 0.03938787, -2.6626575, 0.6903396, 2.8040526, -0.5443248]",1,book,1
2.5,move,"[0.05093113, -0.12747817, 0.03934498, -2.6625783, 0.6901691, 2.804069, -0.5428385]",1,book,1
2.6,move,"[0.05081727, -0.13056059, 0.0393158, -2.662368, 0.68873847, 2.8040574, -0.53547436]",1,book,1
2.7,move,"[0.05070831, -0.13259558, 0.03928671, -2.6623893, 0.6882073, 2.804057, -0.5296183]",1,book,1
2.8,move,"[0.05056152, -0.13275938, 0.03928554, -2.662396, 0.68790334, 2.8040562, -0.5279892]",1,book,1
2.9,move,"[0.04947735, -0.13275735, 0.03926647, -2.6624317, 0.6868122, 2.8040576, -0.52271277]",1,book,1
3.0,move,"[0.04874372, -0.13274889, 0.03927073, -2.6626163, 0.6852589, 2.8040574, -0.5177957]",1,book,1
3.1,move,"[0.04858144, -0.13275057, 0.0392767, -2.6627223, 0.68380684, 2.8040621, -0.5130622]",1,book,1
3.2,move,"[0.04760388, -0.132735, 0.03927736, -2.6634133, 0.68006825, 2.8040588, -0.5052383]",1,book,1
3.3,move,"[0.04638264, -0.13269992, 0.03926482, -2.6642234, 0.6707897, 2.8040586, -0.4944639]",1,book,1
3.4,move,"[0.04541815, -0.1327175, 0.03934151, -2.6646864, 0.66062975, 2.8040504, -0.48288083]",1,book,1
3.5,move,"[0.04424681, -0.13270055, 0.03933991, -2.6655695, 0.6438257, 2.8040397, -0.46502814]",1,book,1
3.6,move,"[0.04381918, -0.13270168, 0.03935443, -2.66611, 0.6287955, 2.8040287, -0.44941413]",1,book,1
3.7,move,"[0.04295707, -0.13268025, 0.03935468, -2.6667812, 0.59648097, 2.80351, -0.41681463]",1,book,1
3.8,move,"[0.04217886, -0.1326751, 0.03934368, -2.6669536, 0.56951964, 2.8023272, -0.39138728]",1,book,1
3.9,move,"[0.04109959, -0.13283063, 0.03937344, -2.6668804, 0.5449086, 2.8009293, -0.36861882]",1,book,1
4.0,move,"[0.0397241, -0.13424651, 0.03945664, -2.6666646, 0.5223371, 2.7984679, -0.3484718]",1,book,1
4.1,move,"[0.03909225, -0.13551606, 0.03945658, -2.666598, 0.51260436, 2.797072, -0.3400772]",1,book,1
4.2,move,"[0.03711163, -0.14168856, 0.03947045, -2.6657047, 0.4792774, 2.7903063, -0.31037146]",1,book,1
4.3,move,"[0.0353412, -0.14795943, 0.03945212, -2.6652098, 0.45519367, 2.783577, -0.28977937]",1,book,1
4.4,move,"[0.03293113, -0.15541513, 0.03946883, -2.664681, 0.43542752, 2.7746804, -0.27333042]",1,book,1
4.5,move,"[0.02723067, -0.17329179, 0.0395111, -2.6630163, 0.39838818, 2.752105, -0.24298131]",1,book,1
