timestamp,action,joint_positions,gripper_state,object_id,success
0.0,release,"[-0.05393417, 0.7577883, -0.15520732, -1.1972651, 0.29443586, 1.8702021, -0.3414571]",1,metal_can,1
0.1,release,"[-0.04620286, 0.771091, -0.15498222, -1.1761456, 0.29403067, 1.87152, -0.3297739]",1,metal_can,1
0.2,release,"[-0.04363295, 0.7760517, -0.15494086, -1.1682079, 0.29390237, 1.8715861, -0.32584324]",1,metal_can,1
0.3,release,"[-0.03385663, 0.79453117, -0.15481563, -1.1395026, 0.29292285, 1.873314, -0.31074247]",1,metal_can,1
0.4,release,"[-0.03065586, 0.7998059, -0.15468542, -1.1309719, 0.2928615, 1.8743325, -0.30616876]",1,metal_can,1
0.5,release,"[-0.020034, 0.81902266, -0.1545723, -1.1004608, 0.29208243, 1.8766074, -0.29013243]",1,metal_can,1
0.6,release,"[-0.01002555, 0.8369298, -0.15455693, -1.0723674, 0.2906713, 1.8801266, -0.2745298]",1,metal_can,1
0.7,release,"[-0.00683551, 0.8423579, -0.15451898, -1.0644586, 0.29059014, 1.882728, -0.27016646]",1,metal_can,1
0.8,release,"[0.00377479, 0.8600628, -0.1544635, -1.0370871, 0.28856993, 1.8896372, -0.25396636]",1,metal_can,1
0.9,release,"[0.01345321, 0.875862, -0.1544951, -1.0134495, 0.2849246, 1.8960422, -0.23882617]",1,metal_can,1
1.0,release,"[0.01643916, 0.88034546, -0.15450047, -1.0063895, 0.283815, 1.8981582, -0.23452298]",1,metal_can,1
1.1,release,"[0.02715279, 0.8940951, -0.15443039, -0.9855875, 0.27754217, 1.9055715, -0.21792136]",1,metal_can,1
1.2,release,"[0.03477401, 0.9016178, -0.15440202, -0.9743302, 0.27298212, 1.9119942, -0.20749755]",1,metal_can,1
1.3,release,"[0.04024338, 0.9080453, -0.15452199, -0.9639642, 0.27021608, 1.915827, -0.19880034]",1,metal_can,1
1.4,release,"[0.05089957, 0.91942716, -0.15449521, -0.94760287, 0.26290265, 1.9243078, -0.18353881]",1,metal_can,1
1.5,release,"[0.05897698, 0.92421556, -0.15445678, -0.94050246, 0.2548645, 1.9271228, -0.17173637]",1,metal_can,1
1.6,release,"[0.06471768, 0.92567295, -0.15452497, -0.93832093, 0.24986228, 1.927401, -0.16393963]",1,metal_can,1
1.7,release,"[0.07308285, 0.92567915, -0.15447348, -0.938269, 0.24116436, 1.9272994, -0.1528195]",1,metal_can,1
1.8,release,"[0.07722607, 0.9256789, -0.15447724, -0.9382701, 0.2364393, 1.9266313, -0.14740773]",1,metal_can,1
1.9,release,"[0.08735935, 0.9256618, -0.15449926, -0.93827975, 0.22426808, 1.9227347, -0.13305098]",1,metal_can,1
2.0,release,"[0.09463664, 0.92566556, -0.15450244, -0.9382895, 0.21419142, 1.9161727, -0.12187108]",1,metal_can,1
2.1,release,"[0.10121924, 0.9254092, -0.15449896, -0.9382794, 0.20550884, 1.9061356, -0.11263888]",1,metal_can,1
2.2,release,"[0.10807307, 0.92465425, -0.1545082, -0.9382925, 0.19484934, 1.893121, -0.10163826]",1,metal_can,1
2.3,release,"[0.11059952, 0.9240935, -0.15452243, -0.9383131, 0.19103815, 1.8870476, -0.09787311]",1,metal_can,1
2.4,release,"[0.12109031, 0.9197146, -0.1545507, -0.9383265, 0.17317946, 1.8545527, -0.08155431]",1,metal_can,1
2.5,release,"[0.12716605, 0.91589224, -0.15454613, -0.9383767, 0.16393483, 1.8322244, -0.07280472]",1,metal_can,1
2.6,release,"[0.129343, 0.91417664, -0.1545497, -0.93848133, 0.1599568, 1.8233161, -0.06946082]",1,metal_can,1
2.7,release,"[0.13463867, 0.9097105, -0.15471877, -0.93857837, 0.14704637, 1.7913877, -0.05968205]",1,metal_can,1
2.8,release,"[0.1355435, 0.9089235, -0.15478688, -0.9385948, 0.14290735, 1.7814765, -0.05773267]",1,metal_can,1
2.9,release,"[0.1373473, 0.9069718, -0.15488446, -0.9386343, 0.1319078, 1.7503082, -0.05257621]",1,metal_can,1
3.0,release,"[0.13951237, 0.90466356, -0.15493059, -0.93873507, 0.12131272, 1.7204787, -0.04656022]",1,metal_can,1
3.1,release,"[0.14118463, 0.9027928, -0.15493305, -0.93908936, 0.11617627, 1.7057877, -0.04296673]",1,metal_can,1
3.2,release,"[0.14557102, 0.89652497, -0.15499365, -0.9412743, 0.10495011, 1.6739508, -0.03541605]",1,metal_can,1
3.3,release,"[0.1487255, 0.8915063, -0.15499784, -0.94404405, 0.09611585, 1.652096, -0.02991596]",1,metal_can,1
3.4,release,"[0.15103899, 0.88720244, -0.15503155, -0.9472169, 0.09013657, 1.636109, -0.02546967]",1,metal_can,1
3.5,release,"[0.15476353, 0.8826676, -0.15505779, -0.9510265, 0.07896601, 1.6112999, -0.01817557]",1,metal_can,1
3.6,release,"[0.15745185, 0.88147086, -0.15512058, -0.95361507, 0.07220067, 1.5979817, -0.01306397]",1,metal_can,1
3.7,release,"[0.15969612, 0.8810051, -0.15513596, -0.9552524, 0.06540184, 1.5879288, -0.00817617]",1,metal_can,1
3.8,release,"[0.16244482, 0.8800638, -0.15511838, -0.9570675, 0.05745761, 1.5769296, -0.00208617]",1,metal_can,1
3.9,release,"[0.16470224, 0.87882507, -0.15518977, -0.9585886, 0.05265035, 1.5688808, 0.00243776]",1,metal_can,1
4.0,release,"[0.16747944, 0.8746814, -0.15519531, -0.96380913, 0.0462621, 1.5607196, 0.00720301]",1,metal_can,1
4.1,release,"[0.16931324, 0.8706515, -0.15519008, -0.96921605, 0.0424541, 1.5575621, 0.01055513]",1,metal_can,1
4.2,release,"[0.17391597, 0.85579616, -0.1552085, -0.99085057, 0.03482185, 1.5549659, 0.018352]",1,metal_can,1
4.3,release,"[0.17685017, 0.84466416, -0.15521508, -1.0084623, 0.02978216, 1.5550548, 0.02317135]",1,metal_can,1
