timestamp,action,joint_positions,gripper_state,object_id,success
0.0,move,"[0.05802332, -0.25817248, 0.263849, -2.5383418, -0.08738702, 2.3913126, 0.6164343]",1,toy_car,1
0.1,move,"[0.05825545, -0.25977847, 0.2669427, -2.53896, -0.08402464, 2.383199, 0.6165805]",1,toy_car,1
0.2,move,"[0.05969501, -0.2647492, 0.2708638, -2.5415351, -0.07860133, 2.3740575, 0.6173137]",1,toy_car,1
0.3,move,"[0.06243434, -0.27093175, 0.27428266, -2.544147, -0.07519495, 2.3658388, 0.6199402]",1,toy_car,1
0.4,move,"[0.06923766, -0.2817824, 0.28214866, -2.5479567, -0.06940768, 2.3520074, 0.62846994]",1,toy_car,1
0.5,move,"[0.07151506, -0.28501981, 0.28478602, -2.549417, -0.06643407, 2.348476, 0.6304438]",1,toy_car,1
0.6,move,"[0.08005799, -0.2971706, 0.29643938, -2.5561275, -0.05655092, 2.3386686, 0.6411917]",1,toy_car,1
0.7,move,"[0.0835626, -0.30036896, 0.30091655, -2.5578518, -0.05487705, 2.3373942, 0.64730906]",1,toy_car,1
0.8,move,"[0.09279863, -0.30270207, 0.31237674, -2.5582113, -0.05318345, 2.336635, 0.66537505]",1,toy_car,1
0.9,move,"[0.09856724, -0.30274823, 0.31883478, -2.5580444, -0.05250383, 2.3370178, 0.6760972]",1,toy_car,1
1.0,move,"[0.10159248, -0.30277634, 0.32329908, -2.557796, -0.0522151, 2.33762, 0.6831316]",1,toy_car,1
1.1,move,"[0.10678539, -0.30280092, 0.3322473, -2.5566912, -0.05107856, 2.3386862, 0.69539714]",1,toy_car,1
1.2,move,"[0.11018182, -0.3028034, 0.33974367, -2.5550947, -0.04959183, 2.3393986, 0.7051159]",1,toy_car,1
1.3,move,"[0.11234131, -0.3027561, 0.3470149, -2.553439, -0.04702131, 2.3400798, 0.7118599]",1,toy_car,1
1.4,move,"[0.11661603, -0.3026184, 0.35925284, -2.5508802, -0.04153611, 2.3416471, 0.7238245]",1,toy_car,1
1.5,move,"[0.11805447, -0.30194187, 0.36293888, -2.5506997, -0.04036951, 2.3429046, 0.7276338]",1,toy_car,1
1.6,move,"[0.12146998, -0.29169416, 0.37676388, -2.5507164, -0.03949596, 2.3540215, 0.7443992]",1,toy_car,1
1.7,move,"[0.12166096, -0.2818657, 0.38502827, -2.550713, -0.0395186, 2.364302, 0.7529805]",1,toy_car,1
1.8,move,"[0.12167037, -0.27793306, 0.38737115, -2.5507462, -0.03952048, 2.3683052, 0.7556926]",1,toy_car,1
1.9,move,"[0.1217088, -0.26216355, 0.39512593, -2.5507097, -0.03972793, 2.3847735, 0.7652682]",1,toy_car,1
2.0,move,"[0.12174296, -0.25506055, 0.3978746, -2.5506175, -0.03974075, 2.392085, 0.7682923]",1,toy_car,1
2.1,move,"[0.12171816, -0.24362564, 0.40019262, -2.5505216, -0.03976629, 2.404431, 0.77179897]",1,toy_car,1
2.2,move,"[0.12177202, -0.2418808, 0.40138382, -2.5506284, -0.03968034, 2.4050238, 0.77331173]",1,toy_car,1
2.3,move,"[0.12197141, -0.24196091, 0.40272018, -2.5508718, -0.03958903, 2.40451, 0.7749296]",1,toy_car,1
2.4,move,"[0.12339687, -0.24249522, 0.4093419, -2.5536003, -0.03953574, 2.4028769, 0.78344303]",1,toy_car,1
2.5,move,"[0.12428565, -0.2438711, 0.41634062, -2.5568502, -0.03911616, 2.4000094, 0.79012]",1,toy_car,1
2.6,move,"[0.12561548, -0.24701634, 0.42271426, -2.5610306, -0.03882134, 2.3958845, 0.7973707]",1,toy_car,1
2.7,move,"[0.1288062, -0.25324368, 0.4280309, -2.5673847, -0.03837662, 2.3909502, 0.80534]",1,toy_car,1
2.8,move,"[0.13020873, -0.25653687, 0.42924973, -2.5697923, -0.03830488, 2.3889987, 0.8074184]",1,toy_car,1
2.9,move,"[0.13274325, -0.27163407, 0.43249643, -2.5773408, -0.03794872, 2.3796048, 0.81208354]",1,toy_car,1
3.0,move,"[0.13275325, -0.27611572, 0.43339965, -2.5799599, -0.03794082, 2.3779523, 0.8127327]",1,toy_car,1
3.1,move,"[0.13275109, -0.27717602, 0.43361682, -2.5806642, -0.03794353, 2.3776414, 0.812901]",1,toy_car,1
3.2,move,"[0.13276033, -0.27964568, 0.43401483, -2.5822046, -0.03794901, 2.3774173, 0.8138891]",1,toy_car,1
3.3,move,"[0.13276064, -0.27981317, 0.4341577, -2.5824366, -0.037947, 2.3773818, 0.81452787]",1,toy_car,1
3.4,move,"[0.13276033, -0.27981922, 0.43419695, -2.5825016, -0.03795281, 2.3773732, 0.8148386]",1,toy_car,1
3.5,move,"[0.13276823, -0.27982914, 0.43433887, -2.5826287, -0.03795383, 2.3773646, 0.81555486]",1,toy_car,1
3.6,move,"[0.13276103, -0.27983913, 0.43447146, -2.5826705, -0.03795557, 2.3773575, 0.8162707]",1,toy_car,1
3.7,move,"[0.13276353, -0.27984554, 0.43456966, -2.5827057, -0.0379576, 2.3773527, 0.8168468]",1,toy_car,1
3.8,move,"[0.13276605, -0.2798625, 0.4347629, -2.5827374, -0.0379657, 2.3773506, 0.8177086]",1,toy_car,1
3.9,move,"[0.13276353, -0.27987385, 0.4348825, -2.5827463, -0.03796174, 2.3773472, 0.818005]",1,toy_car,1
4.0,move,"[0.13276884, -0.27988434, 0.43511632, -2.5827725, -0.03796413, 2.3773465, 0.81930417]",1,toy_car,1
4.1,move,"[0.13276355, -0.27988985, 0.43514568, -2.5827787, -0.03796312, 2.3773432, 0.819568]",1,toy_car,1
4.2,move,"[0.13276605, -0.27989626, 0.43518153, -2.582792, -0.03796504, 2.3773375, 0.8204248]",1,toy_car,1
4.3,move,"[0.13276708, -0.2798996, 0.4351909, -2.5827987, -0.03796414, 2.3773375, 0.82080996]",1,toy_car,1
4.4,move,"[0.13276605, -0.27990583, 0.43533683, -2.5828047, -0.03796379, 2.377334, 0.82154626]",1,toy_car,1
4.5,move,"[0.13276355, -0.27990943, 0.43536225, -2.5828176, -0.0379643, 2.377337, 0.82192487]",1,toy_car,1
4.6,move,"[0.13276425, -0.28023028, 0.43537, -2.582796, -0.0379652, 2.3773441, 0.82216614]",1,toy_car,1
4.7,move,"[0.13276605, -0.2808367, 0.43537933, -2.582796, -0.03796719, 2.3773377, 0.8224515]",1,toy_car,1
4.8,move,"[0.13276103, -0.2809113, 0.43539032, -2.5827959, -0.03796721, 2.377338, 0.8225619]",1,toy_car,1
4.9,move,"[0.13276103, -0.28093264, 0.43538305, -2.5827959, -0.03796972, 2.3773367, 0.8226392]",1,toy_car,1
5.0,move,"[0.13276175, -0.2809486, 0.43539152, -2.582796, -0.03796759, 2.3773355, 0.8226794]",0,toy_car,1
5.1,move,"[0.13276103, -0.28098345, 0.4353975, -2.5827937, -0.03796719, 2.3773367, 0.82283175]",1,toy_car,1
5.2,move,"[0.13276353, -0.28099802, 0.4353923, -2.582796, -0.03796528, 2.3773377, 0.8228884]",1,toy_car,1
5.3,move,"[0.13276377, -0.2810281, 0.43539637, -2.582794, -0.03796617, 2.3773355, 0.8229626]",1,toy_car,1
5.4,move,"[0.13276353, -0.28102887, 0.4354015, -2.5827909, -0.03796719, 2.3773324, 0.8229914]",1,toy_car,1
5.5,move,"[0.13276605, -0.2810456, 0.435405, -2.582794, -0.03796655, 2.377338, 0.82307744]",1,toy_car,1
5.6,move,"[0.13276103, -0.28105217, 0.43541664, -2.5827959, -0.03797153, 2.3773367, 0.8231123]",1,toy_car,1
5.7,move,"[0.13276103, -0.28110942, 0.43542024, -2.5828013, -0.03796888, 2.3773417, 0.8231875]",1,toy_car,1
5.8,move,"[0.13276996, -0.28112537, 0.43552777, -2.582806, -0.03796922, 2.3773284, 0.82326245]",1,toy_car,1
5.9,move,"[0.13502975, -0.28286937, 0.43884262, -2.585404, -0.03743383, 2.373526, 0.8264279]",1,toy_car,1
6.0,move,"[0.1385876, -0.2871795, 0.44196963, -2.590112, -0.03664371, 2.369451, 0.83122766]",1,toy_car,1
6.1,move,"[0.14048675, -0.28990898, 0.4430318, -2.5926776, -0.03604392, 2.3674154, 0.83333236]",1,toy_car,1
6.2,move,"[0.15076746, -0.30337805, 0.44813272, -2.610701, -0.03267962, 2.363638, 0.84384197]",1,toy_car,1
6.3,move,"[0.15350318, -0.30723858, 0.4502434, -2.6175842, -0.03074332, 2.3636634, 0.846572]",1,toy_car,1
6.4,move,"[0.16229667, -0.31922433, 0.45686668, -2.6417973, -0.02196373, 2.3665257, 0.85345626]",1,toy_car,1
6.5,move,"[0.16426247, -0.32374737, 0.45965254, -2.6500714, -0.0201204, 2.3682227, 0.8562503]",1,toy_car,1
6.6,move,"[0.16556615, -0.32724404, 0.46273562, -2.657378, -0.01967032, 2.370515, 0.86026657]",1,toy_car,1
6.7,move,"[0.16698839, -0.32715082, 0.46429986, -2.6574082, -0.01939737, 2.371464, 0.8628924]",1,toy_car,1
6.8,move,"[0.16913222, -0.3257769, 0.46622267, -2.6582837, -0.01936288, 2.3721313, 0.86580193]",1,toy_car,1
6.9,move,"[0.1695752, -0.3237, 0.46743038, -2.6601505, -0.01936516, 2.3747094, 0.867192]",1,toy_car,1
7.0,move,"[0.16958866, -0.32255772, 0.46788576, -2.6612313, -0.01936767, 2.3766055, 0.8675592]",1,toy_car,1
7.1,move,"[0.16959186, -0.32189408, 0.46793297, -2.6618278, -0.01936767, 2.3778973, 0.86763334]",1,toy_car,1
7.2,move,"[0.16959533, -0.32188863, 0.46793795, -2.6619048, -0.01936869, 2.3780441, 0.8676459]",1,toy_car,1
7.3,move,"[0.16965389, -0.321878, 0.46804982, -2.6620822, -0.0193612, 2.378158, 0.86775416]",1,toy_car,1
7.4,move,"[0.17083023, -0.3218691, 0.46893957, -2.6637232, -0.0192203, 2.3781452, 0.86885107]",1,toy_car,1
7.5,move,"[0.17278036, -0.32193732, 0.47055015, -2.6660116, -0.01873133, 2.3781416, 0.8711195]",1,toy_car,1
7.6,move,"[0.17605571, -0.32233247, 0.4753678, -2.669946, -0.01852133, 2.3780665, 0.87841433]",1,toy_car,1
7.7,move,"[0.17929767, -0.3236326, 0.4800811, -2.6743367, -0.01777004, 2.3777606, 0.8851486]",1,toy_car,1
7.8,move,"[0.18304066, -0.32559276, 0.48245707, -2.6780431, -0.01666362, 2.3768039, 0.88953894]",1,toy_car,1
7.9,move,"[0.19112116, -0.3315487, 0.48747927, -2.6879826, -0.01378164, 2.3758152, 0.8994538]",1,toy_car,1
