timestamp,action,joint_positions,gripper_state,object_id,success
0.0,release,"[-0.03271064, 0.3460868, 0.00457885, -1.6374966, -0.15940496, 1.937648, 0.29901823]",1,glass_cup,1
0.1,release,"[-0.03278506, 0.34106705, 0.00458868, -1.6492449, -0.15940052, 1.9387333, 0.29909208]",1,glass_cup,1
0.2,release,"[-0.03357106, 0.32358482, 0.00450635, -1.7038059, -0.15940216, 1.9502643, 0.29937536]",1,glass_cup,1
0.3,release,"[-0.03409065, 0.32124072, 0.00429636, -1.7292614, -0.15941033, 1.9606156, 0.29965034]",1,glass_cup,1
0.4,release,"[-0.03413444, 0.32124907, 0.00415708, -1.7372735, -0.15941885, 1.9655936, 0.29977643]",1,glass_cup,1
0.5,release,"[-0.03442231, 0.32195613, 0.00344162, -1.7651736, -0.15942334, 1.9865645, 0.2999023]",1,glass_cup,1
0.6,release,"[-0.03446076, 0.3224287, 0.00327828, -1.7734076, -0.15941519, 1.993195, 0.2999956]",1,glass_cup,1
0.7,release,"[-0.03476811, 0.3292863, 0.00234986, -1.8005975, -0.15943773, 2.0254323, 0.30023095]",1,glass_cup,1
0.8,release,"[-0.034969777, 0.3474142, 0.0013017773, -1.8077155, -0.15946059, 2.0561686, 0.30025533]",1,glass_cup,1
0.9,release,"[-0.035081852, 0.36481485, 0.00055649469, -1.8075037, -0.15948512, 2.0817025, 0.30027801]",1,glass_cup,1
1.0,release,"[-0.035181887, 0.38059461, -0.00028957092, -1.8061953, -0.15948343, 2.1059012, 0.30027944]",1,glass_cup,1
1.1,release,"[-0.035218421, 0.40088978, -0.0011936116, -1.8025221, -0.15950416, 2.1341591, 0.30032423]",1,glass_cup,1
1.2,release,"[-0.03523489, 0.42084116, -0.00243011, -1.796095, -0.15950112, 2.1604762, 0.30032077]",1,glass_cup,1
1.3,release,"[-0.03524509, 0.44179964, -0.00344972, -1.7863636, -0.1595062, 2.184664, 0.3003184]",1,glass_cup,1
1.4,release,"[-0.03516782, 0.44942987, -0.0035447, -1.7813241, -0.1594609, 2.1922505, 0.300323]",1,glass_cup,1
1.5,release,"[-0.032097492, 0.47089973, -0.0020214191, -1.7567729, -0.15894347, 2.2054143, 0.30168024]",1,glass_cup,1
1.6,release,"[-0.030335667, 0.47580394, -0.0010739206, -1.7484102, -0.15860291, 2.2065055, 0.30272707]",1,glass_cup,1
1.7,release,"[-0.022699624, 0.48958129, 0.0020317081, -1.7223076, -0.15848556, 2.2069354, 0.30970803]",1,glass_cup,1
1.8,release,"[-0.01425646, 0.50176597, 0.00311113, -1.7024484, -0.15848175, 2.2078047, 0.31558597]",1,glass_cup,1
1.9,release,"[-0.01201284, 0.50535846, 0.00313745, -1.6964833, -0.15849048, 2.2083352, 0.3167962]",1,glass_cup,1
2.0,release,"[-0.00858876, 0.5211227, 0.00309746, -1.6727533, -0.15854636, 2.2100337, 0.31801248]",1,glass_cup,1
2.1,release,"[-0.00863325, 0.53215843, 0.00290836, -1.6575953, -0.15859717, 2.2115808, 0.31796288]",1,glass_cup,1
2.2,release,"[-0.00866547, 0.5375495, 0.00273746, -1.6493739, -0.15863828, 2.212581, 0.31793785]",1,glass_cup,1
2.3,release,"[-0.00866157, 0.54706115, 0.00268044, -1.6301627, -0.15865351, 2.2125983, 0.31787694]",1,glass_cup,1
2.4,release,"[-0.00796299, 0.5467136, 0.00281434, -1.6213185, -0.15859424, 2.2096305, 0.31784368]",1,glass_cup,1
2.5,release,"[-0.00663585, 0.5460093, 0.00379871, -1.6147405, -0.15826172, 2.2068758, 0.3180002]",1,glass_cup,1
2.6,release,"[-0.00053963804, 0.54081082, 0.0064999317, -1.600711, -0.15816402, 2.194083, 0.32089818]",1,glass_cup,1
2.7,release,"[0.00259557, 0.5384464, 0.00702739, -1.5955884, -0.15816535, 2.1880217, 0.32288334]",1,glass_cup,1
2.8,release,"[0.013659, 0.5252012, 0.00798801, -1.5806653, -0.1581812, 2.1616616, 0.32981342]",1,glass_cup,1
2.9,release,"[0.01869577, 0.5128193, 0.00799426, -1.5785357, -0.15822612, 2.1481624, 0.33261457]",1,glass_cup,1
3.0,release,"[0.01985906, 0.50696075, 0.00798593, -1.5782695, -0.15824255, 2.1429791, 0.33284402]",1,glass_cup,1
3.1,release,"[0.01998412, 0.49428144, 0.00781463, -1.5776145, -0.15826368, 2.1323073, 0.3328021]",1,glass_cup,1
3.2,release,"[0.02001661, 0.48722196, 0.00784457, -1.5746775, -0.15826438, 2.1243837, 0.33280447]",1,glass_cup,1
3.3,release,"[0.02001453, 0.48662245, 0.00783083, -1.5734019, -0.15826125, 2.1230118, 0.33280325]",1,glass_cup,1
3.4,release,"[0.01990703, 0.4866986, 0.00746873, -1.5723076, -0.15839022, 2.1222994, 0.33280584]",1,glass_cup,1
3.5,release,"[0.01869288, 0.48672605, 0.00526994, -1.5722853, -0.15893081, 2.1222885, 0.33217344]",1,glass_cup,1
3.6,release,"[0.01752976, 0.48690963, 0.003858, -1.5722942, -0.15899949, 2.1222467, 0.33174253]",1,glass_cup,1
3.7,release,"[0.01458977, 0.48963505, 0.00228669, -1.5722963, -0.15899041, 2.1225772, 0.33111176]",1,glass_cup,1
3.8,release,"[0.014124415, 0.49440685, 0.0020154768, -1.5721583, -0.15899155, 2.1271853, 0.3313137]",1,glass_cup,1
3.9,release,"[0.01464616, 0.49911106, 0.00246775, -1.5712763, -0.1586604, 2.1340475, 0.33181682]",1,glass_cup,1
4.0,release,"[0.01789127, 0.5095799, 0.00484879, -1.5627298, -0.15846312, 2.1448202, 0.33474928]",1,glass_cup,1
4.1,release,"[0.0240448, 0.5248784, 0.00702087, -1.5435776, -0.15833005, 2.1503608, 0.33947]",1,glass_cup,1
4.2,release,"[0.0324864, 0.5451141, 0.00890723, -1.5133325, -0.15832977, 2.150978, 0.34635675]",1,glass_cup,1
4.3,release,"[0.04064613, 0.56430334, 0.0092577, -1.4855442, -0.15830405, 2.1508598, 0.35223025]",1,glass_cup,1
4.4,release,"[0.0501083, 0.5891919, 0.00996914, -1.4491711, -0.15833919, 2.1502771, 0.35888085]",1,glass_cup,1
4.5,release,"[0.05920377, 0.6152384, 0.01012005, -1.4117954, -0.158365, 2.149657, 0.3649827]",1,glass_cup,1
4.6,release,"[0.067159, 0.6467903, 0.01004809, -1.3663955, -0.1584463, 2.148629, 0.37005877]",1,glass_cup,1
4.7,release,"[0.06841159, 0.65440124, 0.0099576, -1.3565142, -0.15848708, 2.148129, 0.37058237]",1,glass_cup,1
4.8,release,"[0.06877235, 0.67480695, 0.00925817, -1.337654, -0.15846467, 2.1488066, 0.3707643]",1,glass_cup,1
4.9,release,"[0.06875754, 0.6789454, 0.00915511, -1.3354374, -0.15846547, 2.148998, 0.3707678]",1,glass_cup,1
5.0,release,"[0.06875289, 0.69400424, 0.0086285, -1.3338628, -0.15846501, 2.1548166, 0.37121615]",0,glass_cup,1
5.1,release,"[0.06875109, 0.7011543, 0.00854801, -1.3332809, -0.15847142, 2.157982, 0.3714455]",1,glass_cup,1
5.2,release,"[0.06872844, 0.7209243, 0.00796217, -1.3320136, -0.15847862, 2.1681168, 0.37200072]",1,glass_cup,1
5.3,release,"[0.06875098, 0.731488, 0.0077813, -1.331317, -0.15847968, 2.1727831, 0.37229717]",1,glass_cup,1
5.4,release,"[0.068744, 0.7352511, 0.00775649, -1.3311547, -0.15847014, 2.1743972, 0.37236816]",1,glass_cup,1
5.5,release,"[0.06872839, 0.7502079, 0.00752488, -1.3303325, -0.15847056, 2.1826024, 0.372793]",1,glass_cup,1
5.6,release,"[0.06879, 0.75553536, 0.00748644, -1.3285367, -0.15847902, 2.1845741, 0.37287137]",1,glass_cup,1
5.7,release,"[0.06875858, 0.75842285, 0.0074365, -1.3252064, -0.158464, 2.1841712, 0.37286764]",1,glass_cup,1
5.8,release,"[0.06880681, 0.7584669, 0.00744495, -1.3242171, -0.15846382, 2.1832342, 0.37286982]",1,glass_cup,1
5.9,release,"[0.06880332, 0.758481, 0.00743859, -1.3238937, -0.15846501, 2.1832218, 0.37286982]",1,glass_cup,1
6.0,release,"[0.06881639, 0.7567691, 0.00744106, -1.3172616, -0.15847081, 2.1794302, 0.37285575]",1,glass_cup,1
6.1,release,"[0.06897201, 0.7538484, 0.0074815, -1.3045018, -0.15844901, 2.1670032, 0.37270236]",1,glass_cup,1
6.2,release,"[0.06914361, 0.7525348, 0.00751298, -1.2957696, -0.15845147, 2.1582923, 0.3726202]",1,glass_cup,1
6.3,release,"[0.06993219, 0.7471372, 0.00786106, -1.2685256, -0.15843184, 2.126512, 0.3721356]",1,glass_cup,1
6.4,release,"[0.07076647, 0.74023706, 0.0080382, -1.2496892, -0.15840997, 2.1011314, 0.37182325]",1,glass_cup,1
6.5,release,"[0.0714722, 0.72835106, 0.00830877, -1.2373743, -0.15840554, 2.0768826, 0.37164775]",1,glass_cup,1
6.6,release,"[0.07200076, 0.71517605, 0.0085478, -1.2279333, -0.15839015, 2.0550752, 0.3713485]",1,glass_cup,1
6.7,release,"[0.07252132, 0.70406467, 0.00877343, -1.2240809, -0.1583575, 2.038504, 0.37127936]",1,glass_cup,1
6.8,release,"[0.07339854, 0.69113004, 0.008927, -1.2216544, -0.15834875, 2.0210774, 0.37127447]",1,glass_cup,1
6.9,release,"[0.0742155, 0.67829937, 0.00888611, -1.2204202, -0.1584075, 2.007611, 0.37126398]",1,glass_cup,1
7.0,release,"[0.07494564, 0.66378754, 0.00892989, -1.2174003, -0.15842065, 1.9928262, 0.3710201]",1,glass_cup,1
7.1,release,"[0.07523126, 0.6559634, 0.00893242, -1.2164592, -0.15842187, 1.9859859, 0.3709083]",1,glass_cup,1
7.2,release,"[0.0759594, 0.63585436, 0.0089705, -1.2130663, -0.15842415, 1.9681898, 0.37046987]",1,glass_cup,1
7.3,release,"[0.07624961, 0.62357974, 0.00894807, -1.2083524, -0.1584394, 1.9569283, 0.36983234]",1,glass_cup,1
7.4,release,"[0.07678505, 0.6150282, 0.00893761, -1.1982918, -0.15847225, 1.9446988, 0.36924958]",1,glass_cup,1
7.5,release,"[0.07748949, 0.6078076, 0.00896615, -1.186131, -0.15845177, 1.9282976, 0.36854264]",1,glass_cup,1
7.6,release,"[0.07844263, 0.59674984, 0.00912694, -1.1813169, -0.15844548, 1.9079039, 0.3684392]",1,glass_cup,1
7.7,release,"[0.07969402, 0.58731604, 0.00951575, -1.1812936, -0.15837345, 1.8864465, 0.36844814]",1,glass_cup,1
7.8,release,"[0.08066073, 0.5814817, 0.01000612, -1.1815231, -0.15834153, 1.8675525, 0.3684849]",1,glass_cup,1
7.9,release,"[0.08351804, 0.5700393, 0.01046887, -1.1841847, -0.15831232, 1.8260133, 0.3687426]",1,glass_cup,1
8.0,release,"[0.08429159, 0.5672154, 0.01067232, -1.1850729, -0.158285, 1.813898, 0.36883953]",1,glass_cup,1
8.1,release,"[0.08735389, 0.54618424, 0.01284117, -1.2008073, -0.15823714, 1.7554101, 0.36962265]",1,glass_cup,1
8.2,release,"[0.08892792, 0.5293937, 0.0144191, -1.2226303, -0.158189, 1.7274406, 0.37091026]",1,glass_cup,1
8.3,release,"[0.09061631, 0.5102831, 0.01509329, -1.2554629, -0.15769313, 1.7094913, 0.3722737]",1,glass_cup,1
8.4,release,"[0.09202641, 0.4882927, 0.01546881, -1.3005149, -0.15742442, 1.7034945, 0.37422097]",1,glass_cup,1
8.5,release,"[0.09255394, 0.4777282, 0.01571074, -1.3235488, -0.15734312, 1.7029779, 0.3752891]",1,glass_cup,1
8.6,release,"[0.09318078, 0.44703785, 0.01683727, -1.3879647, -0.1571031, 1.70241, 0.37858292]",1,glass_cup,1
8.7,release,"[0.09353984, 0.42456955, 0.01773028, -1.4336559, -0.15679494, 1.7031224, 0.3811508]",1,glass_cup,1
8.8,release,"[0.0934324, 0.4073384, 0.01770414, -1.466553, -0.15686637, 1.703165, 0.38242653]",1,glass_cup,1
8.9,release,"[0.09113379, 0.37239346, 0.01578767, -1.531014, -0.15760712, 1.7065344, 0.38262156]",1,glass_cup,1
9.0,release,"[0.0899806, 0.36098185, 0.01458441, -1.5495323, -0.1583559, 1.7069854, 0.38244843]",1,glass_cup,1
9.1,release,"[0.0828044, 0.3235854, 0.00775362, -1.6049154, -0.15992445, 1.7121224, 0.37670696]",1,glass_cup,1
9.2,release,"[0.08015425, 0.3145724, 0.00486627, -1.6167614, -0.16055642, 1.7142144, 0.37352225]",1,glass_cup,1
9.3,release,"[0.06386182, 0.29063076, -0.00965518, -1.6516991, -0.16226268, 1.7335503, 0.35239035]",1,glass_cup,1
9.4,release,"[0.05245699, 0.2916082, -0.01899005, -1.6620541, -0.16273303, 1.7513133, 0.33677506]",1,glass_cup,1
9.5,release,"[0.04345753, 0.29381284, -0.02479203, -1.6712885, -0.16282177, 1.7662894, 0.326425]",1,glass_cup,1
9.6,release,"[0.02656364, 0.29988393, -0.03372566, -1.6911904, -0.16305508, 1.797247, 0.3076895]",1,glass_cup,1
9.7,release,"[0.02214505, 0.30178064, -0.03610642, -1.696807, -0.16307768, 1.8055879, 0.30301446]",1,glass_cup,1
9.8,release,"[0.00699093, 0.3104574, -0.04258014, -1.7162688, -0.16316643, 1.8368179, 0.28804615]",1,glass_cup,1
9.9,release,"[0.00353252, 0.31221882, -0.0445192, -1.7200747, -0.16316341, 1.8437626, 0.2841704]",1,glass_cup,1
10.0,release,"[-0.00652791, 0.3128996, -0.04961612, -1.7255719, -0.16297813, 1.8554009, 0.27161813]",1,glass_cup,1
10.1,release,"[-0.01060344, 0.31259507, -0.05021179, -1.7255595, -0.16304423, 1.8567169, 0.26804268]",1,glass_cup,1
10.2,release,"[-0.01780198, 0.312282, -0.05209114, -1.7255751, -0.16269776, 1.8606876, 0.2598506]",1,glass_cup,1
10.3,release,"[-0.0207521, 0.31219402, -0.05209523, -1.7255703, -0.16164428, 1.8654085, 0.25706843]",1,glass_cup,1
10.4,release,"[-0.02080949, 0.31212166, -0.05208741, -1.7255656, -0.16067627, 1.86864, 0.2568016]",1,glass_cup,1
10.5,release,"[-0.02078317, 0.31211147, -0.05203504, -1.7255901, -0.16000357, 1.8711053, 0.25676966]",1,glass_cup,1
10.6,release,"[-0.02093883, 0.31207302, -0.05205907, -1.7255911, -0.15911946, 1.8744748, 0.2567197]",1,glass_cup,1
10.7,release,"[-0.02105482, 0.31205168, -0.05203607, -1.725607, -0.1583949, 1.8767623, 0.2566553]",1,glass_cup,1
10.8,release,"[-0.02133545, 0.31203955, -0.05206509, -1.7257333, -0.15726924, 1.8817463, 0.25660366]",1,glass_cup,1
10.9,release,"[-0.02137299, 0.31200677, -0.05205517, -1.7258478, -0.15678667, 1.8833661, 0.25659284]",1,glass_cup,1
11.0,release,"[-0.02184049, 0.3118867, -0.05205802, -1.726651, -0.1549401, 1.8903494, 0.25646076]",1,glass_cup,1
11.1,release,"[-0.02196291, 0.3118163, -0.05205836, -1.7269616, -0.1541798, 1.8923072, 0.25642315]",1,glass_cup,1
11.2,release,"[-0.02264958, 0.31146201, -0.05207354, -1.7280992, -0.15164724, 1.8986043, 0.25621185]",1,glass_cup,1
11.3,release,"[-0.02282311, 0.31131193, -0.05206586, -1.7285162, -0.15074633, 1.9007263, 0.2561358]",1,glass_cup,1
11.4,release,"[-0.02409263, 0.31062528, -0.05206662, -1.7304533, -0.14569767, 1.9089887, 0.25536686]",1,glass_cup,1
11.5,release,"[-0.0248594, 0.310238, -0.05207855, -1.7312905, -0.1428309, 1.9123181, 0.25457978]",1,glass_cup,1
11.6,release,"[-0.02715777, 0.30869934, -0.05209811, -1.7338684, -0.13611242, 1.9209071, 0.25281566]",1,glass_cup,1
11.7,release,"[-0.02791195, 0.30801773, -0.05209545, -1.7355671, -0.1340473, 1.9253019, 0.25234607]",1,glass_cup,1
11.8,release,"[-0.02961705, 0.30470273, -0.05209351, -1.7437801, -0.12860352, 1.9382766, 0.25148922]",1,glass_cup,1
11.9,release,"[-0.03014326, 0.30353874, -0.05209073, -1.7463466, -0.12651336, 1.9426123, 0.25112036]",1,glass_cup,1
12.0,release,"[-0.03303683, 0.29906404, -0.05208012, -1.7540468, -0.11741307, 1.9572897, 0.24785647]",1,glass_cup,1
12.1,release,"[-0.03631179, 0.29481, -0.05211732, -1.7597436, -0.11421101, 1.9665828, 0.2448107]",1,glass_cup,1
12.2,release,"[-0.03998786, 0.29114735, -0.05244413, -1.7653023, -0.11259632, 1.9744759, 0.24090815]",1,glass_cup,1
12.3,release,"[-0.04768596, 0.2845137, -0.05361002, -1.7764003, -0.1092544, 1.9892797, 0.2328633]",1,glass_cup,1
12.4,release,"[-0.05454998, 0.28066787, -0.05514774, -1.785761, -0.10542893, 2.0019662, 0.22490402]",1,glass_cup,1
12.5,release,"[-0.06906728, 0.28069997, -0.06040972, -1.814226, -0.09601445, 2.0431473, 0.2065111]",1,glass_cup,1
12.6,release,"[-0.07367481, 0.28126213, -0.06159144, -1.824839, -0.09394237, 2.057708, 0.2014819]",1,glass_cup,1
12.7,release,"[-0.09487936, 0.28806376, -0.06301849, -1.8855516, -0.08464507, 2.1450346, 0.18185437]",1,glass_cup,1
12.8,release,"[-0.10484421, 0.29434967, -0.06353058, -1.9177574, -0.07880768, 2.1971717, 0.17184913]",1,glass_cup,1
12.9,release,"[-0.1127315, 0.30197498, -0.06362933, -1.9401069, -0.07529356, 2.2408736, 0.1643295]",1,glass_cup,1
13.0,release,"[-0.11676484, 0.31009084, -0.06361526, -1.95499, -0.07070113, 2.2751892, 0.15872489]",1,glass_cup,1
13.1,release,"[-0.11779675, 0.31445926, -0.06361453, -1.9617335, -0.0677301, 2.2927306, 0.15661395]",1,glass_cup,1
13.2,release,"[-0.11791065, 0.31657687, -0.06357428, -1.9663314, -0.06534731, 2.3053124, 0.15552762]",1,glass_cup,1
13.3,release,"[-0.11829291, 0.3172837, -0.0635914, -1.9717009, -0.06020932, 2.3219318, 0.15272978]",1,glass_cup,1
13.4,release,"[-0.11970862, 0.31761384, -0.06409559, -1.9744968, -0.06007413, 2.3277237, 0.15151635]",1,glass_cup,1
13.5,release,"[-0.12764937, 0.32101163, -0.06484362, -1.984611, -0.05969314, 2.3470232, 0.14466329]",1,glass_cup,1
13.6,release,"[-0.13289165, 0.32520708, -0.06542067, -1.9880513, -0.05941603, 2.3564649, 0.13954136]",1,glass_cup,1
13.7,release,"[-0.14061442, 0.33396158, -0.06551532, -1.9908502, -0.05837781, 2.3716273, 0.13252352]",1,glass_cup,1
13.8,release,"[-0.14401345, 0.34015948, -0.0654767, -1.9910616, -0.05723877, 2.3809943, 0.12904973]",1,glass_cup,1
13.9,release,"[-0.14422418, 0.34213796, -0.06503769, -1.9920093, -0.0565866, 2.3847215, 0.12852627]",1,glass_cup,1
14.0,release,"[-0.14421847, 0.34553254, -0.06445525, -1.9943393, -0.05639638, 2.3877099, 0.1285172]",1,glass_cup,1
14.1,release,"[-0.14423227, 0.356895, -0.06441687, -1.9973994, -0.05597499, 2.3994098, 0.12846506]",1,glass_cup,1
14.2,release,"[-0.14422947, 0.37193725, -0.06433948, -1.9992708, -0.05587175, 2.4162822, 0.12845005]",1,glass_cup,1
14.3,release,"[-0.14422418, 0.3827401, -0.06432374, -1.9993168, -0.05586131, 2.4276686, 0.12844893]",1,glass_cup,1
14.4,release,"[-0.14422947, 0.39041683, -0.06431213, -1.999323, -0.05586681, 2.4374719, 0.1284158]",1,glass_cup,1
