timestamp,action,joint_positions,gripper_state,object_id,success
0.0,pull,"[-0.01581569, -0.24218811, 0.18663697, -2.284818, 0.07557555, 2.02632, 0.0812216]",1,book,1
0.1,pull,"[-0.01582586, -0.24218312, 0.18663163, -2.2848206, 0.07557523, 2.0263188, 0.08122373]",1,book,1
0.2,pull,"[-0.01582033, -0.24218062, 0.18663658, -2.284815, 0.07557669, 2.026322, 0.08122292]",1,book,1
0.3,pull,"[-0.01582455, -0.24218233, 0.18663129, -2.284815, 0.0755731, 2.026321, 0.08121996]",1,book,1
0.4,pull,"[-0.0158104, -0.24217992, 0.1866391, -2.284815, 0.07557567, 2.0263188, 0.0812132]",1,book,1
0.5,pull,"[-0.01582919, -0.24217992, 0.1866282, -2.284815, 0.07557359, 2.0263202, 0.08122257]",1,book,1
0.6,pull,"[-0.01581918, -0.24217673, 0.18662578, -2.284818, 0.07557669, 2.0263188, 0.08122133]",1,book,1
0.7,pull,"[-0.01582455, -0.24217136, 0.18663348, -2.284815, 0.07557464, 2.0263188, 0.08121451]",1,book,1
0.8,pull,"[-0.01581577, -0.24217664, 0.18663381, -2.284818, 0.07557667, 2.02632, 0.08122362]",1,book,1
0.9,pull,"[-0.01778655, -0.2422121, 0.1862014, -2.2852044, 0.07455431, 2.0247514, 0.08055016]",1,book,1
1.0,pull,"[-0.02274047, -0.24254143, 0.18420018, -2.2914596, 0.07322811, 2.0234118, 0.0760935]",1,book,1
1.1,pull,"[-0.02783735, -0.24296331, 0.18037644, -2.301685, 0.07155426, 2.0231164, 0.06927496]",1,book,1
1.2,pull,"[-0.03750021, -0.24738939, 0.17027743, -2.3316603, 0.06951078, 2.0281835, 0.05121725]",1,book,1
1.3,pull,"[-0.0402179, -0.24867801, 0.1674883, -2.3392715, 0.06924701, 2.0303447, 0.04601659]",1,book,1
1.4,pull,"[-0.04841964, -0.2514658, 0.15731877, -2.3574505, 0.06816242, 2.036013, 0.0294241]",1,book,1
1.5,pull,"[-0.05003899, -0.25148398, 0.1550528, -2.3584228, 0.06817377, 2.0359747, 0.02539056]",1,book,1
1.6,pull,"[-0.05138018, -0.25149944, 0.15080038, -2.358776, 0.06820232, 2.0348756, 0.02001471]",1,book,1
1.7,pull,"[-0.05135293, -0.25151116, 0.15045115, -2.358778, 0.06821253, 2.0345795, 0.01965602]",1,book,1
1.8,pull,"[-0.05207952, -0.251509, 0.14782661, -2.3588052, 0.06706355, 2.0343854, 0.01754686]",1,book,1
1.9,pull,"[-0.05384095, -0.2513399, 0.14548574, -2.3587198, 0.06611995, 2.0374563, 0.01508257]",1,book,1
2.0,pull,"[-0.05482154, -0.25104344, 0.14427961, -2.3584518, 0.06592994, 2.0418675, 0.01352384]",1,book,1
2.1,pull,"[-0.05638551, -0.2483385, 0.1437549, -2.3573332, 0.06589183, 2.0527012, 0.01205182]",1,book,1
2.2,pull,"[-0.05695543, -0.24524751, 0.14372395, -2.3573096, 0.0658843, 2.0600123, 0.01148946]",1,book,1
2.3,pull,"[-0.05703298, -0.24009846, 0.14372079, -2.3581932, 0.06580199, 2.0665832, 0.01124071]",1,book,1
2.4,pull,"[-0.05707099, -0.23099679, 0.14375123, -2.3600876, 0.0656274, 2.0756848, 0.01096892]",1,book,1
2.5,pull,"[-0.05709087, -0.22673784, 0.14373218, -2.3605723, 0.06546122, 2.0797286, 0.01080773]",1,book,1
2.6,pull,"[-0.05711155, -0.20336439, 0.14373535, -2.3640397, 0.06431456, 2.0999873, 0.01045673]",1,book,1
2.7,pull,"[-0.05713452, -0.18959574, 0.1437167, -2.367498, 0.06350961, 2.1123343, 0.01020853]",1,book,1
2.8,pull,"[-0.05714973, -0.18240783, 0.14370826, -2.3685555, 0.063236, 2.1181998, 0.01011988]",1,book,1
2.9,pull,"[-0.05714689, -0.17933851, 0.14371562, -2.3686302, 0.06317198, 2.1203167, 0.01001625]",1,book,1
3.0,pull,"[-0.05714184, -0.17661811, 0.14371988, -2.3686337, 0.0631517, 2.1218932, 0.0097972]",1,book,1
3.1,pull,"[-0.05714801, -0.17660159, 0.14371632, -2.3686361, 0.06315363, 2.1218917, 0.00963053]",1,book,1
3.2,pull,"[-0.05700535, -0.17661828, 0.1440316, -2.3686361, 0.06318807, 2.1219, 0.00957498]",1,book,1
3.3,pull,"[-0.05599465, -0.17660631, 0.14571257, -2.3687825, 0.06358862, 2.1217632, 0.00965635]",1,book,1
3.4,pull,"[-0.0544493, -0.17690757, 0.1484516, -2.3697665, 0.0641735, 2.1209464, 0.01051383]",1,book,1
3.5,pull,"[-0.05103387, -0.17753801, 0.15014945, -2.3717206, 0.06479631, 2.1193657, 0.01169622]",1,book,1
3.6,pull,"[-0.04997331, -0.17794318, 0.15072359, -2.3725493, 0.06479733, 2.119082, 0.01192975]",1,book,1
3.7,pull,"[-0.0484558, -0.17893688, 0.15193176, -2.3741164, 0.06476108, 2.11844, 0.01191372]",1,book,1
3.8,pull,"[-0.04838587, -0.17910261, 0.15211834, -2.374214, 0.06474654, 2.117861, 0.01184318]",1,book,1
3.9,pull,"[-0.04809006, -0.18050183, 0.15266311, -2.3753214, 0.06479326, 2.1140304, 0.0117545]",1,book,1
4.0,pull,"[-0.04623956, -0.18413976, 0.154902, -2.3784997, 0.06657294, 2.1083117, 0.01227369]",1,book,1
4.1,pull,"[-0.0455864, -0.18677013, 0.15615235, -2.3808217, 0.06719296, 2.1062, 0.01258659]",1,book,1
4.2,pull,"[-0.04398395, -0.20756318, 0.16147208, -2.4024913, 0.07028697, 2.099977, 0.01332053]",1,book,1
4.3,pull,"[-0.04390031, -0.2209086, 0.16277061, -2.4149954, 0.07146388, 2.0999048, 0.01328777]",1,book,1
4.4,pull,"[-0.0438591, -0.2302978, 0.16333015, -2.4227538, 0.07221724, 2.0999162, 0.01320111]",1,book,1
4.5,pull,"[-0.04381331, -0.23672195, 0.16355287, -2.4271784, 0.07267447, 2.0999265, 0.01317635]",1,book,1
4.6,pull,"[-0.04381259, -0.23823887, 0.16355777, -2.427212, 0.07270736, 2.1031232, 0.01318061]",1,book,1
4.7,pull,"[-0.04385052, -0.23780756, 0.16352725, -2.4269974, 0.07270924, 2.1094313, 0.01317842]",1,book,1
4.8,pull,"[-0.04387018, -0.23754855, 0.16350654, -2.4267511, 0.07270817, 2.112766, 0.01317147]",1,book,1
4.9,pull,"[-0.0439293, -0.23524433, 0.16345383, -2.4259427, 0.07269873, 2.1254385, 0.0131561]",1,book,1
5.0,pull,"[-0.04399728, -0.23173898, 0.16338599, -2.4246755, 0.07269605, 2.1349974, 0.01314598]",0,book,1
5.1,pull,"[-0.04503091, -0.22909594, 0.16247238, -2.424391, 0.0717594, 2.1411762, 0.01261363]",1,book,1
5.2,pull,"[-0.05266577, -0.22679442, 0.15655586, -2.4243994, 0.06871764, 2.1461875, 0.00428966]",1,book,1
5.3,pull,"[-0.054719787, -0.22670972, 0.15428618, -2.4243972, 0.068541743, 2.1464856, 0.0012914604]",1,book,1
5.4,pull,"[-0.05893204, -0.22668199, 0.14856012, -2.4243917, 0.06857119, 2.1469617, -0.00427056]",1,book,1
5.5,pull,"[-0.05917351, -0.22667284, 0.14858548, -2.4243972, 0.06877075, 2.1469715, -0.00426657]",1,book,1
5.6,pull,"[-0.05917523, -0.22668539, 0.14857951, -2.4243965, 0.06879258, 2.1469693, -0.00426421]",1,book,1
5.7,pull,"[-0.059189, -0.22667491, 0.14857422, -2.4243975, 0.06881031, 2.146963, -0.00427083]",1,book,1
5.8,pull,"[-0.05919539, -0.22661592, 0.14857668, -2.4243922, 0.06882226, 2.1469486, -0.00426706]",1,book,1
5.9,pull,"[-0.05948592, -0.2263595, 0.14850096, -2.424435, 0.06877586, 2.1469214, -0.00427589]",1,book,1
6.0,pull,"[-0.06365379, -0.2202702, 0.14691554, -2.4250607, 0.06665376, 2.1473472, -0.00587685]",1,book,1
